
VF= -5 to 2 in 0.01 step
NO. VF IF
 V A
211 -2.9 2.5554E-07
212 -2.89 -9.283E-07
213 -2.88 4.241E-08
214 -2.87 7.6696E-07
215 -2.86 -5.9052E-07
216 -2.85 -3.4756E-07
217 -2.84 9.9359E-07
218 -2.83 -2.7E-08
219 -2.82 -9.3947E-07
220 -2.81 6.6786E-07
221 -2.8 2.8148E-07
222 -2.79 -8.943E-07
223 -2.78 2.19E-08
224 -2.77 7.9738E-07
225 -2.76 -5.6331E-07
226 -2.75 -3.8027E-07
227 -2.74 9.5861E-07
228 -2.73 -2.082E-08
229 -2.72 -9.6258E-07
230 -2.71 6.5402E-07
231 -2.7 3.0483E-07
232 -2.69 -8.6693E-07
233 -2.68 1.172E-08
234 -2.67 8.176E-07
235 -2.66 5.62E-09
236 -2.65 8.3551E-07
237 -2.64 -9.7588E-07
238 -2.63 1.3992E-07
239 -2.62 6.4247E-07
240 -2.61 -6.9882E-07
241 -2.6 -2.8416E-07
242 -2.59 1.03004E-06
243 -2.58 -7.675E-08
244 -2.57 -8.1884E-07
245 -2.56 7.5539E-07
246 -2.55 2.1879E-07
247 -2.54 -9.5522E-07
248 -2.53 9.843E-08
249 -2.52 6.896E-07
250 -2.51 -6.4849E-07
251 -2.5 -3.0492E-07
252 -2.49 1.01425E-06
253 -2.48 -5.068E-08
254 -2.47 -8.7006E-07
255 -2.46 7.1319E-07
256 -2.45 2.4152E-07
257 -2.44 -9.3579E-07
258 -2.43 6.391E-08
259 -2.42 7.3678E-07
260 -2.41 -6.0593E-07
261 -2.4 -3.273E-07
262 -2.39 1.00379E-06
263 -2.38 -3.418E-08
264 -2.37 -9.0856E-07
265 -2.36 6.7687E-07
266 -2.35 2.629E-07
267 -2.34 -9.0401E-07
268 -2.33 3.512E-08
269 -2.32 7.7303E-07
270 -2.31 -5.7574E-07
271 -2.3 -3.5561E-07
272 -2.29 9.703E-07
273 -2.28 -2.384E-08
274 -2.27 -9.3943E-07
275 -2.26 6.5281E-07
276 -2.25 2.8862E-07
277 -2.24 -8.7455E-07
278 -2.23 1.8E-08
279 -2.22 7.9747E-07
280 -2.21 -5.8988E-07
281 -2.2 9.1183E-07
282 -2.19 6.917E-08
283 -2.18 -9.5279E-07
284 -2.17 -2.209E-07
285 -2.16 1.0065E-06
286 -2.15 -3.8684E-07
