
VF= -5 to 2 in 0.01 step
NO. VF IF
 V A
209 -2.92 -1.1534E-07
210 -2.91 8.3039E-07
211 -2.9 1.2654E-07
212 -2.89 -8.283E-07
213 -2.88 -2.4099E-07
214 -2.87 9.0791E-07
215 -2.86 -8.277E-07
216 -2.85 -7.0856E-07
217 -2.84 -1.0463E-07
218 -2.83 8.1939E-07
219 -2.82 5.785E-08
220 -2.81 -8.3086E-07
221 -2.8 -2.0465E-07
222 -2.79 9.044E-07
223 -2.78 1.365E-08
224 -2.77 -8.1894E-07
225 -2.76 5.0455E-07
226 -2.75 -6.4081E-07
227 -2.74 -2.2377E-07
228 -2.73 9.1631E-07
229 -2.72 -8.008E-07
230 -2.71 -7.1323E-07
231 -2.7 -1.6028E-07
232 -2.69 8.7685E-07
233 -2.68 -8.3857E-07
234 -2.67 4.1616E-07
235 -2.66 -7.099E-07
236 -2.65 -1.2297E-07
237 -2.64 8.4073E-07
238 -2.63 -8.4064E-07
239 -2.62 -1.9225E-07
240 -2.61 8.9199E-07
241 -2.6 1.596E-07
242 -2.59 -8.1454E-07
243 -2.58 1.4033E-07
244 -2.57 5.2638E-07
245 -2.56 -6.1802E-07
246 -2.55 -2.3591E-07
247 -2.54 9.1085E-07
248 -2.53 -7.235E-07
249 -2.52 -5.0257E-07
250 -2.51 -3.1906E-07
251 -2.5 8.5746E-07
252 -2.49 -2.909E-08
253 -2.48 -8.0384E-07
254 -2.47 5.5629E-07
255 -2.46 2.3389E-07
256 -2.45 -7.4587E-07
257 -2.44 1.747E-08
258 -2.43 6.8244E-07
259 -2.42 -4.8241E-07
260 -2.41 -3.3584E-07
261 -2.4 8.3865E-07
262 -2.39 -2.242E-08
263 -2.38 -8.1604E-07
264 -2.37 5.4499E-07
265 -2.36 2.5168E-07
266 -2.35 -7.2683E-07
267 -2.34 1.103E-08
268 -2.33 6.9937E-07
269 -2.32 -5.1963E-07
270 -2.31 7.7908E-07
271 -2.3 5.914E-08
272 -2.29 -8.218E-07
273 -2.28 -2.0342E-07
274 -2.27 9.0159E-07
275 -2.26 -3.3408E-07
276 -2.25 -5.0785E-07
277 -2.24 7.6935E-07
278 -2.23 3.531E-08
279 -2.22 -8.1729E-07
280 -2.21 -3.267E-07
281 -2.2 8.5131E-07
282 -2.19 -2.766E-08
283 -2.18 -8.0172E-07
284 -2.17 5.5024E-07
285 -2.16 2.3717E-07
286 -2.15 -7.4186E-07
287 -2.14 1.585E-08
288 -2.13 6.8589E-07
289 -2.12 -5.0926E-07
290 -2.11 7.765E-07
291 -2.1 4.46E-08
292 -2.09 -8.1419E-07
293 -2.08 -3.3622E-07
294 -2.07 8.3657E-07
295 -2.06 -2.3E-08
296 -2.05 -8.0918E-07
297 -2.04 5.444E-07
298 -2.03 2.4716E-07
299 -2.02 -7.2916E-07
300 -2.01 1.144E-08
301 -2 6.9559E-07
302 -1.99 -5.1688E-07
303 -1.98 7.8402E-07
304 -1.97 5.147E-08
305 -1.96 -8.1518E-07
306 -1.95 -1.9708E-07
307 -1.94 8.9894E-07
308 -1.93 -1.976E-07
309 -1.92 -5.7382E-07
310 -1.91 7.5963E-07
311 -1.9 1.1205E-07
312 -1.89 -8.1333E-07
313 -1.88 -2.5834E-07
314 -1.87 8.9983E-07
315 -1.86 -4.511E-07
316 -1.85 -5.14E-07
317 -1.84 -3.818E-07
318 -1.83 -2.124E-08
319 -1.82 -8.0906E-07
320 -1.81 5.4277E-07
321 -1.8 2.5555E-07
322 -1.79 -7.2282E-07
323 -1.78 1.029E-08
324 -1.77 7.0228E-07
325 -1.76 -5.219E-07
326 -1.75 7.8922E-07
327 -1.74 6.006E-08
328 -1.73 -8.1341E-07
329 -1.72 -2.0285E-07
330 -1.71 9.0529E-07
331 -1.7 -3.438E-07
332 -1.69 -1.428E-08
333 -1.68 -8.1299E-07
334 -1.67 4.2928E-07
335 -1.66 -7.2065E-07
336 -1.65 -1.4237E-07
337 -1.64 8.6423E-07
338 -1.63 -4.5973E-07
339 -1.62 -3.7417E-07
340 -1.61 8.0733E-07
341 -1.6 -1.283E-08
342 -1.59 -8.0887E-07
343 -1.58 4.3405E-07
344 -1.57 -7.1762E-07
345 -1.56 -1.4789E-07
346 -1.55 8.701E-07
347 -1.54 -3.5468E-07
348 -1.53 -4.8075E-07
349 -1.52 7.7593E-07
350 -1.51 2.549E-08
351 -1.5 -7.9518E-07
352 -1.49 -6.241E-07
353 -1.48 -4.9736E-07
354 -1.47 -3.2197E-07
355 -1.46 8.5352E-07
356 -1.45 -2.295E-08
357 -1.44 -7.9059E-07
358 -1.43 5.4534E-07
359 -1.42 2.4437E-07
360 -1.41 -7.3261E-07
361 -1.4 1.435E-08
362 -1.39 6.9435E-07
363 -1.38 -5.0601E-07
364 -1.37 7.8809E-07
365 -1.36 5.105E-08
366 -1.35 -8.0566E-07
367 -1.34 -1.7037E-07
368 -1.33 8.7164E-07
369 -1.32 -4.421E-08
370 -1.31 -7.495E-07
371 -1.3 5.8541E-07
372 -1.29 2.0928E-07
373 -1.28 -7.6488E-07
374 -1.27 3.457E-08
375 -1.26 6.477E-07
376 -1.25 -5.1965E-07
377 -1.24 -2.9851E-07
378 -1.23 8.7263E-07
379 -1.22 -2.969E-08
380 -1.21 -7.648E-07
381 -1.2 5.644E-07
382 -1.19 2.2688E-07
383 -1.18 -7.4986E-07
384 -1.17 2.272E-08
385 -1.16 6.7224E-07
386 -1.15 -4.9776E-07
387 -1.14 -3.1629E-07
388 -1.13 8.6025E-07
389 -1.12 -2.383E-08
390 -1.11 -7.8122E-07
391 -1.1 5.4962E-07
392 -1.09 2.4374E-07
393 -1.08 -7.3505E-07
394 -1.07 1.42E-08
395 -1.06 6.9271E-07
396 -1.05 -5.0093E-07
397 -1.04 7.8554E-07
398 -1.03 4.843E-08
399 -1.02 -7.9956E-07
400 -1.01 6.317E-07
401 -1 8.0878E-07
