
VF= -5 to 2 in 0.1 step
NO. VF IF
 V A
1 -5 -8.5522E-07
2 -4.9 8.758E-08
3 -4.8 5.2796E-07
4 -4.7 -8.1068E-07
5 -4.6 -1.33E-08
6 -4.5 7.5392E-07
7 -4.4 -7.364E-07
8 -4.3 -1.7386E-07
9 -4.2 8.449E-07
10 -4.1 8.839E-07
11 -4 8.5091E-07
12 -3.9 2.937E-08
13 -3.8 -9.245E-07
14 -3.7 6.7369E-07
15 -3.6 1.5198E-07
16 -3.5 -9.0403E-07
17 -3.4 4.8962E-07
18 -3.3 -7.4789E-07
19 -3.2 -5.06E-09
20 -3.1 6.8932E-07
21 -3 -6.8393E-07
22 -2.9 -1.3109E-07
23 -2.8 7.6842E-07
24 -2.7 -5.5991E-07
25 -2.6 8.1338E-07
26 -2.5 -2.078E-08
27 -2.4 -7.0088E-07
28 -2.3 8.3378E-07
29 -2.2 2.64E-08
30 -2.1 -8.7882E-07
31 -2 6.7226E-07
32 -1.9 1.4373E-07
33 -1.8 -8.6805E-07
34 -1.7 4.8032E-07
35 -1.6 -7.2912E-07
36 -1.5 2.48E-09
37 -1.4 6.6633E-07
38 -1.3 -6.8163E-07
39 -1.2 -1.1156E-07
40 -1.1 7.4666E-07
41 -1 -6.7532E-07
42 -0.9 -1.341E-07
43 -0.8 7.4843E-07
44 -0.7 -5.3877E-07
45 -0.6 7.9172E-07
46 -0.5 -1.67E-08
47 -0.4 -6.9359E-07
48 -0.3 8.2468E-07
49 -0.2 3.237E-08
50 -0.1 -8.5431E-07
51 0 7.9325E-07
52 0.1 -1.412E-08
53 0.2 -7.1914E-07
54 0.3 8.2134E-07
55 0.4 8.934E-08
56 0.5 1.2151E-06
57 0.6 6.5301E-05
58 0.7 0.00056361
59 0.8 0.002081
60 0.9 0.0053571
61 1 0.0101192
62 1.1 0.015673
63 1.2 0.021607
64 1.3 0.02776
65 1.4 0.03411
66 1.5 0.040543
67 1.6 0.047051
68 1.7 0.050002
69 1.8 0.050002
70 1.9 0.05
71 2 0.05
