
VF= -5 to 2 in 0.1 step
NO. VF IF
 V A
1 -5 -2.9856E-07
2 -4.9 9.2908E-07
3 -4.8 8.984E-08
4 -4.7 -9.7524E-07
5 -4.6 6.4902E-07
6 -4.5 2.1992E-07
7 -4.4 -9.7594E-07
8 -4.3 -1.8011E-07
9 -4.2 8.2249E-07
10 -4.1 -5.3277E-07
11 -4 -3.1961E-07
12 -3.9 9.6816E-07
13 -3.8 1.32E-07
14 -3.7 -9.5606E-07
15 -3.6 6.3366E-07
16 -3.5 2.4929E-07
17 -3.4 -9.6311E-07
18 -3.3 -2.147E-07
19 -3.2 8.6818E-07
20 -3.1 9.064E-07
21 -3 8.6917E-07
22 -2.9 6.876E-08
23 -2.8 -9.645E-07
24 -2.7 6.6917E-07
25 -2.6 2.0486E-07
26 -2.5 -9.565E-07
27 -2.4 -3.5861E-07
28 -2.3 9.8611E-07
29 -2.2 -9.4725E-07
30 -2.1 -2.767E-07
31 -2 9.4069E-07
32 -1.9 -8.1586E-07
33 -1.8 -7.142E-08
34 -1.7 8.0491E-07
35 -1.6 -6.042E-07
36 -1.5 -2.2304E-07
37 -1.4 8.941E-07
38 -1.3 -8.0688E-07
39 -1.2 -3.5E-09
40 -1.1 7.3862E-07
41 -1 -7.2864E-07
42 -0.9 -1.3588E-07
43 -0.8 8.3091E-07
44 -0.7 -5.2527E-07
45 -0.6 -2.7833E-07
46 -0.5 9.6333E-07
47 -0.4 7.645E-07
48 -0.3 -5.5423E-07
49 -0.2 9.0571E-07
50 -0.1 -5.587E-08
51 0 -3.8557E-07
52 0.1 9.9482E-07
53 0.2 -9.1596E-07
54 0.3 8.1858E-07
55 0.4 1.7289E-07
56 0.5 1.00679E-06
57 0.6 6.59E-05
58 0.7 0.00056585
59 0.8 0.0020864
60 0.9 0.0053753
61 1 0.0101567
62 1.1 0.015725
63 1.2 0.021703
64 1.3 0.027901
65 1.4 0.034287
66 1.5 0.04077
67 1.6 0.047386
68 1.7 0.049999
69 1.8 0.050002
70 1.9 0.049999
71 2 0.050001
