
VF= -5 to 2 in 0.01 step
NO. VF IF
 V A
214 -2.87 -7.464E-07
215 -2.86 -3.85E-08
216 -2.85 -7.316E-07
217 -2.84 -4.8E-08
218 -2.83 -7.173E-07
219 -2.82 -1.347E-07
220 -2.81 -6.236E-07
221 -2.8 1.156E-06
222 -2.79 1.13866E-06
223 -2.78 7.514E-07
224 -2.77 -1.31E-08
225 -2.76 6.841E-07
226 -2.75 -1.0645E-06
227 -2.74 -1.14629E-06
228 -2.73 -7.509E-07
229 -2.72 -3.48E-08
230 -2.71 -7.352E-07
231 -2.7 -4.49E-08
232 -2.69 -7.187E-07
233 -2.68 8.134E-07
234 -2.67 -7.71E-07
235 -2.66 8.463E-07
236 -2.65 -8.353E-07
237 -2.64 5.8E-09
238 -2.63 -8.139E-07
239 -2.62 -4.9E-09
240 -2.61 -7.93E-07
241 -2.6 -1.6E-08
242 -2.59 -7.772E-07
243 -2.58 -2.22E-08
244 -2.57 -7.576E-07
245 -2.56 -3.12E-08
246 -2.55 -7.415E-07
247 -2.54 -4.04E-08
248 -2.53 -7.243E-07
249 -2.52 -5.12E-08
250 -2.51 -7.092E-07
251 -2.5 8.064E-07
252 -2.49 -7.585E-07
253 -2.48 -2.91E-08
254 -2.47 -7.444E-07
255 -2.46 8.286E-07
256 -2.45 -1.132E-07
257 -2.44 8.103E-07
258 -2.43 -7.811E-07
259 -2.42 8.492E-07
260 -2.41 -8.434E-07
261 -2.4 8.848E-07
262 -2.39 1.578E-07
263 -2.38 -2.6444E-07
264 -2.37 -8.073E-07
265 -2.36 4.3E-09
266 -2.35 -8.043E-07
267 -2.34 8.605E-07
268 -2.33 1.938E-07
269 -2.32 -2.3624E-07
270 -2.31 -7.698E-07
271 -2.3 -1.56E-08
272 -2.29 -7.692E-07
273 -2.28 -2.47E-08
274 -2.27 -7.5E-07
275 -2.26 -3.1E-08
276 -2.25 -7.353E-07
277 -2.24 8.206E-07
278 -2.23 -1.069E-07
279 -2.22 8.078E-07
280 -2.21 -7.71E-07
281 -2.2 8.445E-07
282 -2.19 -8.162E-07
283 -2.18 8.776E-07
284 -2.17 1.648E-07
285 -2.16 -2.5584E-07
286 -2.15 -7.933E-07
287 -2.14 -2.4E-09
288 -2.13 -7.92E-07
289 -2.12 8.526E-07
290 -2.11 -8.56E-07
291 -2.1 8.919E-07
292 -2.09 -8.555E-07
293 -2.08 8.97E-07
294 -2.07 2.011E-07
295 -2.06 -2.3105E-07
296 -2.05 -1.328E-07
297 -2.04 8.289E-07
298 -2.03 -8.212E-07
299 -2.02 8.756E-07
300 -2.01 1.763E-07
301 -2 -2.4639E-07
302 -1.99 -7.834E-07
303 -1.98 8.628E-07
304 -1.97 1.931E-07
305 -1.96 -2.3387E-07
306 -1.95 -1.364E-07
307 -1.94 8.329E-07
308 -1.93 -8.069E-07
309 -1.92 8.752E-07
310 -1.91 1.719E-07
311 -1.9 -2.5029E-07
312 -1.89 -7.877E-07
313 -1.88 8.656E-07
314 -1.87 1.858E-07
315 -1.86 -2.3568E-07
316 -1.85 -7.707E-07
317 -1.84 8.543E-07
318 -1.83 2.009E-07
319 -1.82 -2.2558E-07
320 -1.81 -1.313E-07
321 -1.8 8.308E-07
322 -1.79 -1.195E-07
323 -1.78 8.22E-07
324 -1.77 -1.112E-07
325 -1.76 8.124E-07
326 -1.75 -7.736E-07
327 -1.74 8.51E-07
328 -1.73 -8.183E-07
329 -1.72 8.853E-07
330 -1.71 2.144E-07
331 -1.7 -2.1503E-07
332 -1.69 -1.241E-07
333 -1.68 8.244E-07
334 -1.67 -7.808E-07
335 -1.66 8.625E-07
336 -1.65 1.912E-07
337 -1.64 -2.3487E-07
338 -1.63 -1.406E-07
339 -1.62 8.372E-07
340 -1.61 -8.236E-07
341 -1.6 -1.11557E-06
342 -1.59 -5.279E-07
343 -1.58 1.1245E-06
344 -1.57 1.16474E-06
345 -1.56 -5.17E-08
346 -1.55 -1.804E-07
347 -1.54 -5.688E-07
348 -1.53 1.1451E-06
349 -1.52 1.1493E-06
350 -1.51 7.447E-07
351 -1.5 -1.8E-09
352 -1.49 6.738E-07
353 -1.48 -1.0422E-06
354 -1.47 -1.1326E-06
355 -1.46 1.8451E-07
356 -1.45 5.864E-07
357 -1.44 1.081E-07
358 -1.43 5.754E-07
359 -1.42 1.245E-07
360 -1.41 -2.8827E-07
361 -1.4 -8.368E-07
362 -1.39 9.008E-07
363 -1.38 1.387E-07
364 -1.37 -2.7513E-07
365 -1.36 -8.185E-07
366 -1.35 -1.11504E-06
367 -1.34 -5.372E-07
368 -1.33 1.1284E-06
369 -1.32 1.15841E-06
370 -1.31 -1.00453E-06
371 -1.3 -5.184E-08
372 -1.29 3.095E-07
373 -1.28 5.8442E-07
374 -1.27 -9.8781E-07
375 -1.26 -1.3682E-07
376 -1.25 5.8E-07
377 -1.24 1.248E-07
378 -1.23 -2.8518E-07
379 -1.22 -8.337E-07
380 -1.21 -1.11423E-06
381 -1.2 -5.481E-07
382 -1.19 1.1317E-06
383 -1.18 1.16532E-06
384 -1.17 -6.31E-08
385 -1.16 2.944E-07
386 -1.15 5.7188E-07
387 -1.14 -9.7916E-07
388 -1.13 -1.2084E-07
389 -1.12 -8.8469E-07
390 -1.11 9.5955E-07
391 -1.1 5.47E-09
392 -1.09 -8.29E-07
393 -1.08 -1.10557E-06
394 -1.07 -5.304E-07
395 -1.06 1.1243E-06
396 -1.05 1.16556E-06
397 -1.04 -8.277E-08
398 -1.03 2.759E-07
399 -1.02 5.51E-07
400 -1.01 -9.7321E-07
401 -1 6.277E-07
402 -0.99 -1.02139E-06
403 -0.98 6.1195E-07
404 -0.97 -1.01397E-06
405 -0.96 6.235E-07
406 -0.95 -1.01858E-06
407 -0.94 -1.111E-06
408 -0.93 -9.6683E-07
409 -0.92 6.1754E-07
410 -0.91 -1.01387E-06
411 -0.9 6.2514E-07
412 -0.89 -1.02188E-06
413 -0.88 6.1285E-07
414 -0.87 -1.01285E-06
415 -0.86 6.2418E-07
416 -0.85 -1.02284E-06
417 -0.84 6.0996E-07
418 -0.83 -1.00974E-06
419 -0.82 6.1689E-07
420 -0.81 -1.02692E-06
421 -0.8 6.3092E-07
422 -0.79 -1.03259E-06
423 -0.78 -6.313E-08
424 -0.77 2.979E-07
425 -0.76 5.7308E-07
426 -0.75 -9.9168E-07
427 -0.74 6.1923E-07
428 -0.73 -1.02579E-06
429 -0.72 -4.58E-08
430 -0.71 -1.01402E-06
431 -0.7 8.0399E-07
432 -0.69 -3.92E-08
433 -0.68 9.359E-07
434 -0.67 -4.9145E-07
435 -0.66 -5.67E-09
436 -0.65 -8.617E-07
437 -0.64 -1.10717E-06
438 -0.63 -5.565E-07
439 -0.62 1.142E-06
440 -0.61 1.16345E-06
441 -0.6 -5.224E-08
442 -0.59 -9.864E-07
443 -0.58 8.2923E-07
444 -0.57 -2.764E-08
445 -0.56 9.458E-07
446 -0.55 -4.64E-07
447 -0.54 -1.473E-08
448 -0.53 -1.10351E-06
449 -0.52 7.1372E-07
450 -0.51 4.538E-07
451 -0.5 -1.1171E-06
452 -0.49 -9.8013E-07
453 -0.48 6.1188E-07
454 -0.47 -1.01259E-06
455 -0.46 6.1707E-07
456 -0.45 -1.01965E-06
457 -0.44 6.0337E-07
458 -0.43 -1.00923E-06
459 -0.42 6.1545E-07
460 -0.41 -1.01793E-06
461 -0.4 5.989E-07
462 -0.39 -1.00584E-06
463 -0.38 6.1152E-07
464 -0.37 -1.01081E-06
465 -0.36 6.2249E-07
466 -0.35 -1.01625E-06
467 -0.34 6.0586E-07
468 -0.33 -1.00525E-06
469 -0.32 6.1794E-07
470 -0.31 -1.01111E-06
471 -0.3 6.2585E-07
472 -0.29 -1.01135E-06
473 -0.28 6.1257E-07
474 -0.27 -1.00635E-06
475 -0.26 6.2746E-07
476 -0.25 -1.03125E-06
477 -0.24 6.1319E-07
478 -0.23 -1.02466E-06
479 -0.22 6.2465E-07
480 -0.21 -1.03341E-06
481 -0.2 -1.1043E-06
482 -0.19 -9.8394E-07
483 -0.18 1.08759E-06
484 -0.17 5.2476E-07
485 -0.16 -9.8144E-07
486 -0.15 6.1576E-07
487 -0.14 -1.03128E-06
488 -0.13 6.2415E-07
489 -0.12 -1.03553E-06
490 -0.11 6.0729E-07
491 -0.1 -1.02331E-06
492 -0.09 6.1984E-07
493 -0.08 -1.03364E-06
494 -0.07 6.3148E-07
495 -0.06 -1.03776E-06
496 -0.05 -2.04E-07
497 -0.04 -1.173E-07
498 -0.03 8.167E-07
499 -0.02 -7.669E-07
500 -0.01 8.537E-07
501 0 -1.107E-06
502 0.01 -1.03673E-06
503 0.02 -2.1024E-07
504 0.03 -1.215E-07
505 0.04 8.204E-07
506 0.05 -7.722E-07
507 0.06 -1.08537E-06
508 0.07 -7.0569E-07
509 0.08 1.08328E-06
510 0.09 5.628E-07
511 0.1 1.415E-07
512 0.11 -2.6854E-07
513 0.12 -9.8928E-07
514 0.13 -6.185E-08
515 0.14 -1.82E-08
516 0.15 6.884E-07
517 0.16 -4.02E-08
518 0.17 7.248E-07
519 0.18 -5.91E-08
520 0.19 7.53E-07
521 0.2 -1.98E-08
522 0.21 6.946E-07
523 0.22 -4.1E-08
524 0.23 7.338E-07
525 0.24 -6.54E-08
526 0.25 7.668E-07
527 0.26 -2.28E-08
528 0.27 7.032E-07
529 0.28 -4.73E-08
530 0.29 7.403E-07
531 0.3 -2E-10
532 0.31 6.733E-07
533 0.32 6.13E-08
534 0.33 6.109E-07
535 0.34 7.74E-08
536 0.35 6.019E-07
537 0.36 9.76E-08
538 0.37 6.01E-07
539 0.38 1.214E-07
540 0.39 6.018E-07
541 0.4 1.557E-07
542 0.41 6.222E-07
543 0.42 2.125E-07
544 0.43 6.715E-07
545 0.44 2.608E-07
546 0.45 8.156E-07
547 0.46 3.965E-07
548 0.47 1.0987E-06
549 0.48 1.596E-06
550 0.49 1.1428E-06
551 0.5 2.6778E-06
552 0.51 1.6822E-06
553 0.52 2.9049E-06
554 0.53 5.6922E-06
555 0.54 5.9163E-06
556 0.55 9.7762E-06
557 0.56 1.3022E-05
558 0.57 1.9738E-05
559 0.58 2.9628E-05
560 0.59 3.9621E-05
561 0.6 5.428E-05
562 0.61 7.5251E-05
563 0.62 9.8925E-05
564 0.63 0.00013034
565 0.64 0.0001673
566 0.65 0.00021085
567 0.66 0.00025895
568 0.67 0.00031403
569 0.68 0.00038266
