-10.00000000000000000,	0.00000000007322280,	93099.99999999999990000,	0.00000000000000000
-9.90000000000000035,	0.00000000007320900,	88525.49999999999990000,	0.00000000000000000
-9.80000000000000071,	0.00000000007320890,	88569.89999999999400000,	0.00000000000000000
-9.69999999999999928,	0.00000000007321050,	88843.49999999999990000,	0.00000000000000000
-9.59999999999999964,	0.00000000007320840,	88953.89999999999400000,	0.00000000000000000
-9.50000000000000000,	0.00000000007320860,	89013.10000000000570000,	0.00000000000000000
-9.40000000000000035,	0.00000000007320950,	88970.49999999999990000,	0.00000000000000000
-9.30000000000000071,	0.00000000007320900,	89042.99999999999990000,	0.00000000000000000
-9.19999999999999928,	0.00000000007320830,	88957.10000000000570000,	0.00000000000000000
-9.09999999999999964,	0.00000000007320730,	88937.10000000000570000,	0.00000000000000000
-9.00000000000000000,	0.00000000007320680,	88962.80000000000280000,	0.00000000000000000
-8.90000000000000035,	0.00000000007320530,	89026.39999999999400000,	0.00000000000000000
-8.80000000000000071,	0.00000000007320670,	88940.30000000000280000,	0.00000000000000000
-8.69999999999999929,	0.00000000007320370,	88970.89999999999400000,	0.00000000000000000
-8.59999999999999964,	0.00000000007320300,	88977.39999999999400000,	0.00000000000000000
-8.50000000000000000,	0.00000000007320250,	88975.49999999999990000,	0.00000000000000000
-8.40000000000000035,	0.00000000007320170,	89040.69999999999700000,	0.00000000000000000
-8.30000000000000071,	0.00000000007319950,	89024.30000000000280000,	0.00000000000000000
-8.19999999999999929,	0.00000000007319860,	88997.60000000000570000,	0.00000000000000000
-8.09999999999999964,	0.00000000007319770,	88941.60000000000570000,	0.00000000000000000
-8.00000000000000000,	0.00000000007319550,	89058.99999999999990000,	0.00000000000000000
-7.90000000000000035,	0.00000000007319410,	89013.10000000000570000,	0.00000000000000000
-7.79999999999999982,	0.00000000007319430,	88983.30000000000280000,	0.00000000000000000
-7.69999999999999929,	0.00000000007318900,	89012.10000000000570000,	0.00000000000000000
-7.59999999999999964,	0.00000000007318940,	89014.10000000000570000,	0.00000000000000000
-7.50000000000000000,	0.00000000007318790,	89053.10000000000570000,	0.00000000000000000
-7.40000000000000035,	0.00000000007318540,	89065.10000000000570000,	0.00000000000000000
-7.29999999999999982,	0.00000000007318460,	89081.10000000000570000,	0.00000000000000000
-7.19999999999999929,	0.00000000007318140,	89139.89999999999400000,	0.00000000000000000
-7.09999999999999964,	0.00000000007317920,	89154.49999999999990000,	0.00000000000000000
-7.00000000000000000,	0.00000000007317620,	89122.39999999999400000,	0.00000000000000000
-6.90000000000000035,	0.00000000007317520,	89102.89999999999400000,	0.00000000000000000
-6.79999999999999982,	0.00000000007317310,	89001.99999999999990000,	0.00000000000000000
-6.69999999999999929,	0.00000000007316930,	89047.60000000000570000,	0.00000000000000000
-6.59999999999999964,	0.00000000007316580,	89085.39999999999400000,	0.00000000000000000
-6.50000000000000000,	0.00000000007316530,	89080.49999999999990000,	0.00000000000000000
-6.40000000000000035,	0.00000000007316190,	89089.80000000000280000,	0.00000000000000000
-6.29999999999999982,	0.00000000007315640,	89125.99999999999990000,	0.00000000000000000
-6.19999999999999929,	0.00000000007315320,	89068.10000000000570000,	0.00000000000000000
-6.09999999999999964,	0.00000000007315070,	89094.99999999999990000,	0.00000000000000000
-6.00000000000000000,	0.00000000007314590,	89105.60000000000570000,	0.00000000000000000
-5.89999999999999946,	0.00000000007314260,	89117.10000000000570000,	0.00000000000000000
-5.79999999999999982,	0.00000000007313720,	89097.30000000000280000,	0.00000000000000000
-5.70000000000000018,	0.00000000007313240,	89087.10000000000570000,	0.00000000000000000
-5.59999999999999964,	0.00000000007312770,	89083.39999999999400000,	0.00000000000000000
-5.50000000000000000,	0.00000000007312300,	89084.80000000000280000,	0.00000000000000000
-5.39999999999999946,	0.00000000007311860,	89148.30000000000280000,	0.00000000000000000
-5.29999999999999982,	0.00000000007311230,	89038.49999999999990000,	0.00000000000000000
-5.19999999999999929,	0.00000000007310650,	89027.49999999999990000,	0.00000000000000000
-5.09999999999999964,	0.00000000007310020,	89033.30000000000280000,	0.00000000000000000
-5.00000000000000000,	0.00000000007309470,	89024.60000000000570000,	0.00000000000000000
-4.89999999999999946,	0.00000000007308800,	88953.10000000000570000,	0.00000000000000000
-4.79999999999999982,	0.00000000007308100,	88969.69999999999700000,	0.00000000000000000
-4.69999999999999929,	0.00000000007307270,	88921.10000000000570000,	0.00000000000000000
-4.59999999999999964,	0.00000000007306570,	89006.99999999999990000,	0.00000000000000000
-4.50000000000000000,	0.00000000007305990,	88951.19999999999700000,	0.00000000000000000
-4.39999999999999946,	0.00000000007304980,	88935.10000000000570000,	0.00000000000000000
-4.29999999999999982,	0.00000000007304180,	88901.30000000000280000,	0.00000000000000000
-4.19999999999999929,	0.00000000007303110,	88943.19999999999700000,	0.00000000000000000
-4.09999999999999964,	0.00000000007302070,	88936.39999999999400000,	0.00000000000000000
-4.00000000000000000,	0.00000000007301090,	88909.30000000000280000,	0.00000000000000000
-3.89999999999999947,	0.00000000007300060,	88916.49999999999990000,	0.00000000000000000
-3.79999999999999982,	0.00000000007298690,	88810.19999999999700000,	0.00000000000000000
-3.69999999999999929,	0.00000000007297540,	88807.19999999999700000,	0.00000000000000000
-3.59999999999999964,	0.00000000007296210,	88776.10000000000570000,	0.00000000000000000
-3.50000000000000000,	0.00000000007294810,	88846.69999999999700000,	0.00000000000000000
-3.39999999999999947,	0.00000000007293380,	88862.99999999999990000,	0.00000000000000000
-3.29999999999999982,	0.00000000007291690,	88805.99999999999990000,	0.00000000000000000
