
VD= 0 to 5 in 0.01 step
VG= 0 to 5 in 0.5 step
NO. VD VG ID
 V V A
211 2.1 0 -0.00011808
212 2.11 0 -0.00011803
213 2.12 0 -0.00011794
214 2.13 0 -0.00011785
215 2.14 0 -0.00011779
216 2.15 0 -0.0001177
217 2.16 0 -0.00011762
218 2.17 0 -0.00011757
219 2.18 0 -0.00011745
220 2.19 0 -0.00011737
221 2.2 0 -0.00011731
222 2.21 0 -0.0001172
223 2.22 0 -0.00011709
224 2.23 0 -0.00011701
225 2.24 0 -0.00011693
226 2.25 0 -0.00011682
227 2.26 0 -0.00011668
228 2.27 0 -0.00011663
229 2.28 0 -0.00011651
230 2.29 0 -0.0001164
231 2.3 0 -0.00011628
232 2.31 0 -0.00011618
233 2.32 0 -0.00011606
234 2.33 0 -0.00011592
235 2.34 0 -0.0001158
236 2.35 0 -0.00011571
237 2.36 0 -0.00011556
238 2.37 0 -0.00011544
239 2.38 0 -0.00011532
240 2.39 0 -0.00011521
241 2.4 0 -0.00011505
242 2.41 0 -0.00011492
243 2.42 0 -0.00011479
244 2.43 0 -0.00011463
245 2.44 0 -0.00011449
246 2.45 0 -0.00011437
247 2.46 0 -0.00011421
248 2.47 0 -0.00011405
249 2.48 0 -0.00011389
250 2.49 0 -0.00011374
251 2.5 0 -0.00011359
252 2.51 0 -0.00011343
253 2.52 0 -0.00011325
254 2.53 0 -0.00011311
255 2.54 0 -0.00011293
256 2.55 0 -0.00011276
257 2.56 0 -0.0001126
258 2.57 0 -0.00011241
259 2.58 0 -0.00011223
260 2.59 0 -0.00011206
261 2.6 0 -0.00011188
262 2.61 0 -0.00011172
263 2.62 0 -0.00011149
264 2.63 0 -0.00011132
265 2.64 0 -0.00011114
266 2.65 0 -0.00011093
267 2.66 0 -0.00011072
268 2.67 0 -0.00011054
269 2.68 0 -0.00011036
270 2.69 0 -0.00011014
271 2.7 0 -0.00010994
272 2.71 0 -0.00010975
273 2.72 0 -0.00010952
274 2.73 0 -0.00010928
275 2.74 0 -0.0001091
276 2.75 0 -0.00010889
277 2.76 0 -0.00010866
278 2.77 0 -0.0001084
279 2.78 0 -0.00010821
280 2.79 0 -0.00010797
281 2.8 0 -0.00010772
282 2.81 0 -0.00010751
283 2.82 0 -0.00010729
284 2.83 0 -0.00010703
285 2.84 0 -0.0001068
286 2.85 0 -0.00010658
287 2.86 0 -0.00010635
288 2.87 0 -0.00010606
289 2.88 0 -0.00010581
290 2.89 0 -0.00010558
291 2.9 0 -0.00010533
292 2.91 0 -0.00010504
293 2.92 0 -0.00010479
294 2.93 0 -0.00010456
295 2.94 0 -0.00010426
296 2.95 0 -0.00010401
297 2.96 0 -0.00010376
298 2.97 0 -0.00010348
299 2.98 0 -0.00010318
300 2.99 0 -0.0001029
301 3 0 -0.00010267
302 3.01 0 -0.00010236
303 3.02 0 -0.00010206
304 3.03 0 -0.00010179
305 3.04 0 -0.00010151
306 3.05 0 -0.0001012
307 3.06 0 -0.00010091
308 3.07 0 -0.00010063
309 3.08 0 -0.00010031
310 3.09 0 -0.000100037
311 3.1 0 -9.9729E-05
312 3.11 0 -9.9407E-05
313 3.12 0 -9.913E-05
314 3.13 0 -9.881E-05
315 3.14 0 -9.8474E-05
316 3.15 0 -9.8172E-05
317 3.16 0 -9.7883E-05
318 3.17 0 -9.7551E-05
319 3.18 0 -9.7197E-05
320 3.19 0 -9.6901E-05
321 3.2 0 -9.6581E-05
322 3.21 0 -9.6233E-05
323 3.22 0 -9.5916E-05
324 3.23 0 -9.5581E-05
325 3.24 0 -9.5227E-05
326 3.25 0 -9.4887E-05
327 3.26 0 -9.4576E-05
