
VD= 0 to 5 in 0.01 step
VB= 5 to 7 in 0.5 step
NO. VD VB ID
 V V A
1 0 5 -0.00014146
2 0.01 5 -0.0001414
3 0.02 5 -0.00014132
4 0.03 5 -0.00014132
5 0.04 5 -0.0001413
6 0.05 5 -0.00014123
7 0.06 5 -0.00014121
8 0.07 5 -0.00014122
9 0.08 5 -0.00014119
10 0.09 5 -0.00014112
11 0.1 5 -0.00014108
12 0.11 5 -0.00014108
13 0.12 5 -0.00014102
14 0.13 5 -0.000141
15 0.14 5 -0.00014099
16 0.15 5 -0.00014096
17 0.16 5 -0.00014092
18 0.17 5 -0.00014086
19 0.18 5 -0.00014087
20 0.19 5 -0.00014083
21 0.2 5 -0.00014078
22 0.21 5 -0.00014078
23 0.22 5 -0.00014076
24 0.23 5 -0.00014071
25 0.24 5 -0.00014067
26 0.25 5 -0.00014066
27 0.26 5 -0.00014067
28 0.27 5 -0.0001406
29 0.28 5 -0.00014058
30 0.29 5 -0.00014059
31 0.3 5 -0.00014057
32 0.31 5 -0.00014051
33 0.32 5 -0.00014051
34 0.33 5 -0.0001405
35 0.34 5 -0.00014045
36 0.35 5 -0.00014042
37 0.36 5 -0.00014045
38 0.37 5 -0.00014041
39 0.38 5 -0.00014034
40 0.39 5 -0.00014035
41 0.4 5 -0.00014036
42 0.41 5 -0.00014034
43 0.42 5 -0.00014027
44 0.43 5 -0.00014028
45 0.44 5 -0.00014027
46 0.45 5 -0.00014022
47 0.46 5 -0.00014017
48 0.47 5 -0.00014018
49 0.48 5 -0.00014016
50 0.49 5 -0.00014009
51 0.5 5 -0.00014012
52 0.51 5 -0.0001401
53 0.52 5 -0.00014006
54 0.53 5 -0.00014003
55 0.54 5 -0.00014003
56 0.55 5 -0.00014002
57 0.56 5 -0.00013998
58 0.57 5 -0.00013994
59 0.58 5 -0.00013998
60 0.59 5 -0.00013992
61 0.6 5 -0.0001399
62 0.61 5 -0.00013992
63 0.62 5 -0.00013991
64 0.63 5 -0.00013985
65 0.64 5 -0.00013982
66 0.65 5 -0.00013982
67 0.66 5 -0.0001398
68 0.67 5 -0.00013975
69 0.68 5 -0.00013974
70 0.69 5 -0.00013976
71 0.7 5 -0.0001397
72 0.71 5 -0.00013967
73 0.72 5 -0.00013967
74 0.73 5 -0.00013967
75 0.74 5 -0.00013961
76 0.75 5 -0.00013958
77 0.76 5 -0.00013959
78 0.77 5 -0.00013956
79 0.78 5 -0.00013953
80 0.79 5 -0.00013953
81 0.8 5 -0.00013954
82 0.81 5 -0.00013946
83 0.82 5 -0.00013945
84 0.83 5 -0.00013945
85 0.84 5 -0.00013944
86 0.85 5 -0.00013938
87 0.86 5 -0.00013938
88 0.87 5 -0.00013939
89 0.88 5 -0.00013935
90 0.89 5 -0.00013931
91 0.9 5 -0.00013931
92 0.91 5 -0.0001393
93 0.92 5 -0.00013925
94 0.93 5 -0.00013924
95 0.94 5 -0.00013925
96 0.95 5 -0.00013921
97 0.96 5 -0.00013917
98 0.97 5 -0.00013916
99 0.98 5 -0.00013918
100 0.99 5 -0.00013912
101 1 5 -0.0001391
102 1.01 5 -0.00013911
103 1.02 5 -0.0001391
104 1.03 5 -0.00013905
105 1.04 5 -0.00013903
106 1.05 5 -0.00013902
107 1.06 5 -0.00013901
108 1.07 5 -0.00013893
109 1.08 5 -0.00013896
110 1.09 5 -0.00013895
