
VD= 5 to 10 in 0.01 step
VG= 5 to 10 in 1 step
NO. VD ID ISUB
 V A A
139 6.38 -5.2659E-09 1.6063E-08
140 6.39 -6.1687E-09 1.7116E-08
141 6.4 -3.6112E-09 1.7942E-08
142 6.41 -4.7932E-09 1.6687E-08
143 6.42 -5.8012E-09 1.6927E-08
144 6.43 -3.0425E-09 1.762E-08
145 6.44 -4.2899E-09 1.7217E-08
146 6.45 -5.3689E-09 1.6701E-08
147 6.46 -2.4483E-09 1.715E-08
148 6.47 -3.7457E-09 1.7896E-08
149 6.48 -4.9074E-09 1.6568E-08
150 6.49 -5.8861E-09 1.6961E-08
151 6.5 -3.18E-09 1.7752E-08
152 6.51 -4.4128E-09 1.7244E-08
153 6.52 -5.4762E-09 1.6756E-08
154 6.53 -2.5846E-09 1.7231E-08
155 6.54 -3.8758E-09 1.781E-08
156 6.55 -5.0335E-09 1.6456E-08
157 6.56 -5.9879E-09 1.7021E-08
158 6.57 -3.3211E-09 1.792E-08
159 6.58 -4.5406E-09 1.7074E-08
160 6.59 -5.5827E-09 1.6849E-08
161 6.6 -2.7339E-09 1.7341E-08
162 6.61 -4.0148E-09 1.7509E-08
163 6.62 -5.1392E-09 1.6252E-08
164 6.63 -6.0821E-09 1.7056E-08
165 6.64 -3.4728E-09 1.8016E-08
166 6.65 -4.6775E-09 1.6851E-08
167 6.66 -5.6919E-09 1.6899E-08
168 6.67 -2.8919E-09 1.7462E-08
169 6.68 -4.1635E-09 1.7189E-08
170 6.69 -5.264E-09 1.5969E-08
171 6.7 -6.1668E-09 1.712E-08
172 6.71 -3.6329E-09 1.7995E-08
173 6.72 -4.8038E-09 1.6681E-08
174 6.73 -5.8132E-09 1.6931E-08
175 6.74 -3.065E-09 1.7666E-08
176 6.75 -4.3196E-09 1.7237E-08
177 6.76 -5.4001E-09 1.6667E-08
178 6.77 -2.4871E-09 1.7211E-08
179 6.78 -3.7909E-09 1.7901E-08
180 6.79 -4.9636E-09 1.6492E-08
181 6.8 -5.937E-09 1.6973E-08
182 6.81 -3.2452E-09 1.7874E-08
183 6.82 -4.4785E-09 1.7157E-08
184 6.83 -5.5336E-09 1.6775E-08
185 6.84 -2.6916E-09 1.7322E-08
186 6.85 -3.9768E-09 1.7617E-08
187 6.86 -5.1121E-09 1.6356E-08
188 6.87 -6.0565E-09 1.7019E-08
189 6.88 -3.4302E-09 1.8026E-08
190 6.89 -4.6425E-09 1.6931E-08
191 6.9 -5.6812E-09 1.6898E-08
192 6.91 -2.8732E-09 1.7493E-08
193 6.92 -4.1457E-09 1.7204E-08
194 6.93 -5.2607E-09 1.6609E-08
195 6.94 -2.2974E-09 1.7127E-08
196 6.95 -3.6309E-09 1.8036E-08
197 6.96 -4.8023E-09 1.6726E-08
198 6.97 -5.8142E-09 1.6979E-08
199 6.98 -3.0653E-09 1.7667E-08
200 6.99 -4.3198E-09 1.7218E-08
201 7 -5.4014E-09 1.672E-08
202 7.01 -2.5002E-09 1.7164E-08
203 7.02 -3.8031E-09 1.7837E-08
204 7.03 -4.9572E-09 1.6503E-08
205 7.04 -5.9369E-09 1.702E-08
206 7.05 -3.2509E-09 1.7901E-08
207 7.06 -4.4882E-09 1.7139E-08
208 7.07 -5.5396E-09 1.6836E-08
209 7.08 -2.6779E-09 1.7356E-08
210 7.09 -3.9699E-09 1.7595E-08
211 7.1 -5.1174E-09 1.6317E-08
212 7.11 -6.0585E-09 1.707E-08
213 7.12 -3.437E-09 1.8003E-08
214 7.13 -4.6471E-09 1.6918E-08
215 7.14 -5.6776E-09 1.6879E-08
216 7.15 -2.8698E-09 1.7444E-08
217 7.16 -4.1421E-09 1.727E-08
218 7.17 -5.2667E-09 1.6607E-08
219 7.18 -2.3083E-09 1.7111E-08
220 7.19 -3.6227E-09 1.8027E-08
221 7.2 -4.8093E-09 1.6795E-08
222 7.21 -5.8109E-09 1.6916E-08
223 7.22 -3.0761E-09 1.7705E-08
224 7.23 -4.3169E-09 1.7238E-08
225 7.24 -5.4097E-09 1.6733E-08
226 7.25 -2.5001E-09 1.7169E-08
227 7.26 -3.8071E-09 1.7853E-08
228 7.27 -4.9697E-09 1.6489E-08
229 7.28 -5.9407E-09 1.7021E-08
230 7.29 -3.2689E-09 1.7921E-08
231 7.3 -4.5036E-09 1.7129E-08
232 7.31 -5.5516E-09 1.6878E-08
233 7.32 -2.6981E-09 1.7367E-08
234 7.33 -3.9893E-09 1.757E-08
235 7.34 -5.1214E-09 1.6276E-08
236 7.35 -6.064E-09 1.7081E-08
237 7.36 -3.4464E-09 1.7991E-08
238 7.37 -4.6651E-09 1.6855E-08
239 7.38 -5.6932E-09 1.6913E-08
240 7.39 -2.895E-09 1.7495E-08
241 7.4 -4.1665E-09 1.7217E-08
242 7.41 -5.2754E-09 1.6629E-08
243 7.42 -2.3316E-09 1.7115E-08
244 7.43 -3.6511E-09 1.7998E-08
245 7.44 -4.8349E-09 1.6666E-08
246 7.45 -5.8309E-09 1.6957E-08
247 7.46 -3.0928E-09 1.7723E-08
248 7.47 -4.3401E-09 1.7274E-08
249 7.48 -5.4238E-09 1.6754E-08
250 7.49 -2.5212E-09 1.7202E-08
