
VD= 0.5 to 5.5 in 0.01 step
NO. VD ID
 V A
1 0.5 1.24E-07
2 0.51 1.1482E-05
3 0.52 2.2728E-05
4 0.53 3.4786E-05
5 0.54 4.5816E-05
6 0.55 5.6737E-05
7 0.56 6.765E-05
8 0.57 7.8442E-05
9 0.58 8.991E-05
10 0.59 0.000100591
11 0.6 0.000111104
12 0.61 0.00012145
13 0.62 0.00013169
14 0.63 0.00014193
15 0.64 0.00015284
16 0.65 0.00016272
17 0.66 0.00017261
18 0.67 0.00018247
19 0.68 0.00019219
20 0.69 0.00020252
21 0.7 0.00021205
22 0.71 0.00022148
23 0.72 0.00023072
24 0.73 0.00023986
25 0.74 0.0002497
26 0.75 0.00025873
27 0.76 0.00026755
28 0.77 0.00027635
29 0.78 0.00028512
30 0.79 0.00029439
31 0.8 0.00030279
32 0.81 0.00031119
33 0.82 0.0003195
34 0.83 0.0003276
35 0.84 0.00033628
36 0.85 0.00034428
37 0.86 0.00035215
38 0.87 0.00035986
39 0.88 0.0003676
40 0.89 0.00037573
41 0.9 0.00038316
42 0.91 0.00039045
43 0.92 0.00039772
44 0.93 0.0004049
45 0.94 0.00041239
46 0.95 0.00041933
47 0.96 0.00042618
48 0.97 0.00043289
49 0.98 0.00043953
50 0.99 0.00044655
51 1 0.00045297
52 1.01 0.00045919
53 1.02 0.00046537
54 1.03 0.0004715
55 1.04 0.00047797
56 1.05 0.00048377
57 1.06 0.00048954
58 1.07 0.00049526
59 1.08 0.00050085
60 1.09 0.00050669
61 1.1 0.00051206
62 1.11 0.00051733
63 1.12 0.00052245
64 1.13 0.00052746
65 1.14 0.00053284
66 1.15 0.00053767
67 1.16 0.00054233
68 1.17 0.00054699
69 1.18 0.00055158
70 1.19 0.0005563
71 1.2 0.00056059
72 1.21 0.00056484
73 1.22 0.00056898
74 1.23 0.00057295
75 1.24 0.00057688
76 1.25 0.00058105
77 1.26 0.0005847
78 1.27 0.00058829
79 1.28 0.00059186
80 1.29 0.00059527
81 1.3 0.0005988
82 1.31 0.00060201
83 1.32 0.00060519
84 1.33 0.00060823
85 1.34 0.00061112
86 1.35 0.00061419
87 1.36 0.00061698
88 1.37 0.00061957
89 1.38 0.00062213
90 1.39 0.00062463
91 1.4 0.00062723
92 1.41 0.00062946
93 1.42 0.00063166
94 1.43 0.00063385
95 1.44 0.00063585
96 1.45 0.00063793
97 1.46 0.00063988
98 1.47 0.00064169
99 1.48 0.00064335
100 1.49 0.00064498
101 1.5 0.00064673
102 1.51 0.00064821
103 1.52 0.00064959
104 1.53 0.00065094
