
VD= 0 to 5 in 0.01 step
VB= 5 to 7 in 0.5 step
NO. VD VB ID
 V V A
1 0 5 -0.00076183
2 0.01 5 -0.00076157
3 0.02 5 -0.00076132
4 0.03 5 -0.00076102
5 0.04 5 -0.00076073
6 0.05 5 -0.00076048
7 0.06 5 -0.00076024
8 0.07 5 -0.00075995
9 0.08 5 -0.00075966
10 0.09 5 -0.00075942
11 0.1 5 -0.00075912
12 0.11 5 -0.00075885
13 0.12 5 -0.00075859
14 0.13 5 -0.00075833
15 0.14 5 -0.00075803
16 0.15 5 -0.00075781
17 0.16 5 -0.00075753
18 0.17 5 -0.00075727
19 0.18 5 -0.00075695
20 0.19 5 -0.00075675
21 0.2 5 -0.00075646
22 0.21 5 -0.00075616
23 0.22 5 -0.00075591
24 0.23 5 -0.0007556
25 0.24 5 -0.00075536
26 0.25 5 -0.00075508
27 0.26 5 -0.0007548
28 0.27 5 -0.00075457
29 0.28 5 -0.00075423
30 0.29 5 -0.000754
31 0.3 5 -0.00075374
32 0.31 5 -0.00075347
33 0.32 5 -0.0007532
34 0.33 5 -0.0007529
35 0.34 5 -0.00075265
36 0.35 5 -0.00075239
37 0.36 5 -0.00075212
38 0.37 5 -0.00075188
39 0.38 5 -0.00075156
40 0.39 5 -0.00075128
41 0.4 5 -0.00075102
42 0.41 5 -0.00075075
43 0.42 5 -0.00075051
44 0.43 5 -0.00075021
45 0.44 5 -0.00074995
46 0.45 5 -0.0007497
47 0.46 5 -0.00074941
48 0.47 5 -0.00074909
49 0.48 5 -0.00074887
50 0.49 5 -0.00074859
51 0.5 5 -0.00074831
52 0.51 5 -0.00074806
53 0.52 5 -0.00074779
54 0.53 5 -0.00074752
55 0.54 5 -0.00074721
56 0.55 5 -0.00074694
57 0.56 5 -0.00074671
58 0.57 5 -0.00074637
59 0.58 5 -0.00074613
60 0.59 5 -0.00074585
61 0.6 5 -0.00074556
62 0.61 5 -0.00074531
63 0.62 5 -0.00074503
64 0.63 5 -0.00074479
65 0.64 5 -0.00074446
66 0.65 5 -0.00074421
67 0.66 5 -0.00074394
68 0.67 5 -0.00074368
69 0.68 5 -0.00074337
70 0.69 5 -0.00074309
71 0.7 5 -0.00074284
72 0.71 5 -0.00074256
73 0.72 5 -0.00074225
74 0.73 5 -0.00074201
75 0.74 5 -0.00074172
76 0.75 5 -0.00074143
77 0.76 5 -0.00074117
78 0.77 5 -0.00074088
79 0.78 5 -0.00074059
80 0.79 5 -0.0007403
81 0.8 5 -0.00074006
82 0.81 5 -0.00073976
83 0.82 5 -0.00073949
84 0.83 5 -0.00073918
85 0.84 5 -0.0007389
86 0.85 5 -0.00073862
87 0.86 5 -0.00073837
88 0.87 5 -0.00073808
89 0.88 5 -0.00073781
90 0.89 5 -0.00073753
91 0.9 5 -0.00073723
92 0.91 5 -0.00073696
93 0.92 5 -0.00073669
94 0.93 5 -0.00073636
95 0.94 5 -0.00073613
96 0.95 5 -0.00073583
97 0.96 5 -0.00073556
98 0.97 5 -0.00073523
99 0.98 5 -0.000735
100 0.99 5 -0.00073466
101 1 5 -0.00073438
102 1.01 5 -0.00073412
103 1.02 5 -0.00073385
104 1.03 5 -0.00073353
105 1.04 5 -0.00073323
106 1.05 5 -0.00073292
107 1.06 5 -0.00073268
108 1.07 5 -0.00073239
109 1.08 5 -0.00073211
110 1.09 5 -0.00073181
111 1.1 5 -0.0007315
112 1.11 5 -0.00073121
113 1.12 5 -0.00073095
114 1.13 5 -0.00073064
115 1.14 5 -0.00073037
116 1.15 5 -0.00073005
117 1.16 5 -0.0007298
118 1.17 5 -0.00072949
119 1.18 5 -0.00072918
120 1.19 5 -0.00072893
121 1.2 5 -0.00072863
122 1.21 5 -0.00072829
123 1.22 5 -0.00072801
124 1.23 5 -0.00072774
125 1.24 5 -0.00072745
126 1.25 5 -0.00072709
127 1.26 5 -0.00072685
128 1.27 5 -0.00072661
129 1.28 5 -0.00072627
130 1.29 5 -0.00072601
131 1.3 5 -0.00072566
132 1.31 5 -0.00072538
133 1.32 5 -0.00072508
134 1.33 5 -0.00072479
135 1.34 5 -0.00072448
136 1.35 5 -0.00072417
137 1.36 5 -0.00072387
138 1.37 5 -0.00072357
139 1.38 5 -0.00072329
140 1.39 5 -0.00072301
141 1.4 5 -0.00072271
142 1.41 5 -0.0007224
143 1.42 5 -0.00072207
144 1.43 5 -0.00072179
145 1.44 5 -0.00072149
146 1.45 5 -0.00072116
147 1.46 5 -0.00072082
148 1.47 5 -0.00072058
149 1.48 5 -0.00072029
150 1.49 5 -0.00071998
151 1.5 5 -0.00071965
152 1.51 5 -0.00071937
153 1.52 5 -0.00071903
154 1.53 5 -0.00071872
155 1.54 5 -0.00071845
156 1.55 5 -0.00071812
157 1.56 5 -0.00071781
158 1.57 5 -0.00071752
159 1.58 5 -0.00071722
160 1.59 5 -0.00071688
161 1.6 5 -0.00071656
162 1.61 5 -0.00071625
163 1.62 5 -0.00071596
164 1.63 5 -0.00071567
165 1.64 5 -0.00071534
166 1.65 5 -0.00071503
167 1.66 5 -0.00071468
168 1.67 5 -0.00071438
169 1.68 5 -0.00071409
170 1.69 5 -0.0007138
171 1.7 5 -0.00071345
172 1.71 5 -0.00071314
173 1.72 5 -0.00071286
174 1.73 5 -0.00071252
175 1.74 5 -0.00071219
176 1.75 5 -0.00071191
177 1.76 5 -0.00071157
178 1.77 5 -0.00071121
179 1.78 5 -0.00071093
180 1.79 5 -0.00071061
181 1.8 5 -0.0007103
182 1.81 5 -0.00070993
183 1.82 5 -0.00070964
184 1.83 5 -0.00070934
185 1.84 5 -0.00070898
186 1.85 5 -0.00070869
187 1.86 5 -0.00070833
188 1.87 5 -0.00070799
189 1.88 5 -0.00070767
190 1.89 5 -0.00070741
191 1.9 5 -0.00070706
192 1.91 5 -0.0007067
193 1.92 5 -0.00070636
194 1.93 5 -0.00070605
195 1.94 5 -0.00070574
196 1.95 5 -0.00070535
197 1.96 5 -0.00070508
198 1.97 5 -0.00070473
199 1.98 5 -0.00070436
200 1.99 5 -0.00070404
201 2 5 -0.00070373
202 2.01 5 -0.00070337
203 2.02 5 -0.00070303
204 2.03 5 -0.00070271
205 2.04 5 -0.00070238
206 2.05 5 -0.00070203
207 2.06 5 -0.00070166
208 2.07 5 -0.00070136
209 2.08 5 -0.00070104
210 2.09 5 -0.00070063
211 2.1 5 -0.00070034
212 2.11 5 -0.00069997
213 2.12 5 -0.00069962
214 2.13 5 -0.00069928
215 2.14 5 -0.00069894
216 2.15 5 -0.00069859
217 2.16 5 -0.00069819
218 2.17 5 -0.0006979
219 2.18 5 -0.00069756
220 2.19 5 -0.0006972
221 2.2 5 -0.00069684
222 2.21 5 -0.00069648
223 2.22 5 -0.00069611
224 2.23 5 -0.00069573
225 2.24 5 -0.00069543
226 2.25 5 -0.00069507
227 2.26 5 -0.00069465
228 2.27 5 -0.00069432
229 2.28 5 -0.00069394
230 2.29 5 -0.00069361
231 2.3 5 -0.00069321
232 2.31 5 -0.00069286
233 2.32 5 -0.00069249
234 2.33 5 -0.00069214
235 2.34 5 -0.00069176
236 2.35 5 -0.0006914
237 2.36 5 -0.00069105
238 2.37 5 -0.00069064
239 2.38 5 -0.00069029
240 2.39 5 -0.00068989
241 2.4 5 -0.00068953
242 2.41 5 -0.00068914
243 2.42 5 -0.00068876
244 2.43 5 -0.00068838
245 2.44 5 -0.00068798
246 2.45 5 -0.00068761
247 2.46 5 -0.00068728
248 2.47 5 -0.00068681
249 2.48 5 -0.00068644
250 2.49 5 -0.00068605
251 2.5 5 -0.00068569
252 2.51 5 -0.00068531
253 2.52 5 -0.00068487
254 2.53 5 -0.0006845
255 2.54 5 -0.00068409
256 2.55 5 -0.00068369
257 2.56 5 -0.00068334
258 2.57 5 -0.00068285
259 2.58 5 -0.00068245
260 2.59 5 -0.00068207
261 2.6 5 -0.0006817
262 2.61 5 -0.00068126
263 2.62 5 -0.00068083
264 2.63 5 -0.00068044
265 2.64 5 -0.00068004
266 2.65 5 -0.00067958
267 2.66 5 -0.0006792
268 2.67 5 -0.00067874
269 2.68 5 -0.00067833
270 2.69 5 -0.00067788
271 2.7 5 -0.00067748
272 2.71 5 -0.00067709
273 2.72 5 -0.0006766
274 2.73 5 -0.00067613
275 2.74 5 -0.00067575
276 2.75 5 -0.00067529
277 2.76 5 -0.00067484
278 2.77 5 -0.00067442
279 2.78 5 -0.00067396
280 2.79 5 -0.00067349
281 2.8 5 -0.00067306
282 2.81 5 -0.00067261
283 2.82 5 -0.00067214
284 2.83 5 -0.00067165
285 2.84 5 -0.00067125
286 2.85 5 -0.00067079
287 2.86 5 -0.0006703
288 2.87 5 -0.00066979
289 2.88 5 -0.00066933
290 2.89 5 -0.00066887
291 2.9 5 -0.00066837
292 2.91 5 -0.00066794
293 2.92 5 -0.0006674
294 2.93 5 -0.0006669
295 2.94 5 -0.0006664
296 2.95 5 -0.00066591
297 2.96 5 -0.00066543
298 2.97 5 -0.00066494
299 2.98 5 -0.00066439
300 2.99 5 -0.0006639
301 3 5 -0.00066339
302 3.01 5 -0.00066284
303 3.02 5 -0.00066236
304 3.03 5 -0.00066178
305 3.04 5 -0.00066124
306 3.05 5 -0.00066075
307 3.06 5 -0.00066022
308 3.07 5 -0.00065966
309 3.08 5 -0.00065907
310 3.09 5 -0.00065854
311 3.1 5 -0.00065799
312 3.11 5 -0.00065743
313 3.12 5 -0.00065686
314 3.13 5 -0.00065626
315 3.14 5 -0.00065568
316 3.15 5 -0.00065511
317 3.16 5 -0.00065453
318 3.17 5 -0.00065396
319 3.18 5 -0.00065331
320 3.19 5 -0.00065272
321 3.2 5 -0.00065213
322 3.21 5 -0.0006515
323 3.22 5 -0.00065085
324 3.23 5 -0.00065021
325 3.24 5 -0.0006496
326 3.25 5 -0.00064895
327 3.26 5 -0.00064831
328 3.27 5 -0.00064769
329 3.28 5 -0.00064697
330 3.29 5 -0.00064627
331 3.3 5 -0.00064562
332 3.31 5 -0.00064494
333 3.32 5 -0.00064425
334 3.33 5 -0.00064347
335 3.34 5 -0.00064279
336 3.35 5 -0.00064209
337 3.36 5 -0.00064135
338 3.37 5 -0.00064066
339 3.38 5 -0.00063985
340 3.39 5 -0.0006391
341 3.4 5 -0.0006383
342 3.41 5 -0.00063755
343 3.42 5 -0.00063676
344 3.43 5 -0.00063588
345 3.44 5 -0.00063509
346 3.45 5 -0.00063431
347 3.46 5 -0.00063346
348 3.47 5 -0.00063258
349 3.48 5 -0.0006317
350 3.49 5 -0.00063086
351 3.5 5 -0.00062993
352 3.51 5 -0.00062908
353 3.52 5 -0.00062819
354 3.53 5 -0.00062718
355 3.54 5 -0.00062623
356 3.55 5 -0.00062531
357 3.56 5 -0.00062434
358 3.57 5 -0.00062333
