
VD= 5 to 10 in 0.01 step
VG= 5 to 10 in 1 step
NO. VD ID ISUB
 V A A
142 6.41 9.682E-09 -2.0828E-08
143 6.42 1.1255E-08 -1.8593E-08
144 6.43 1.2098E-08 -2.0705E-08
145 6.44 1.1298E-08 -1.8627E-08
146 6.45 1.2172E-08 -2.0453E-08
147 6.46 1.1284E-08 -1.8574E-08
148 6.47 1.2214E-08 2.442E-09
149 6.48 -1.0615E-08 1.5232E-08
150 6.49 -1.1849E-08 1.703E-09
151 6.5 8.047E-09 -1.8322E-08
152 6.51 1.2322E-08 2.754E-09
153 6.52 -1.0826E-08 2.106E-08
154 6.53 -1.1979E-08 1.909E-08
155 6.54 -1.2313E-08 -2.523E-09
156 6.55 9.557E-09 -2.0835E-08
157 6.56 1.1241E-08 -1.8621E-08
158 6.57 1.2034E-08 -2.0802E-08
159 6.58 1.1248E-08 -1.8537E-08
160 6.59 1.2105E-08 -2.0675E-08
161 6.6 1.1236E-08 -1.87E-08
162 6.61 1.2203E-08 -2.0489E-08
163 6.62 1.1286E-08 -1.8549E-08
164 6.63 1.2223E-08 -2.0291E-08
165 6.64 1.1258E-08 -1.9877E-08
166 6.65 1.2268E-08 -2.0252E-08
167 6.66 1.1271E-08 -2.0034E-08
168 6.67 1.2303E-08 2.852E-09
169 6.68 -1.0924E-08 1.4687E-08
170 6.69 -1.1826E-08 7.82E-10
171 6.7 8.318E-09 -1.9747E-08
172 6.71 1.2235E-08 -2.0344E-08
173 6.72 1.1255E-08 -1.9908E-08
174 6.73 1.2264E-08 2.664E-09
175 6.74 -1.0788E-08 2.1103E-08
176 6.75 -1.1975E-08 1.9114E-08
177 6.76 -1.2314E-08 1.5668E-08
178 6.77 -1.1974E-08 1.8851E-08
179 6.78 -1.2314E-08 -2.611E-09
180 6.79 9.663E-09 -2.0751E-08
181 6.8 1.1263E-08 -1.8575E-08
182 6.81 1.208E-08 -2.0678E-08
183 6.82 1.1287E-08 -1.8566E-08
184 6.83 1.2141E-08 -2.0531E-08
185 6.84 1.1277E-08 -1.8582E-08
186 6.85 1.2224E-08 -2.0377E-08
187 6.86 1.1221E-08 -1.9756E-08
188 6.87 1.2243E-08 -2.0256E-08
189 6.88 1.13E-08 -1.8138E-08
190 6.89 1.2274E-08 2.713E-09
191 6.9 -1.087E-08 2.0927E-08
192 6.91 -1.194E-08 1.8928E-08
193 6.92 -1.23E-08 -2.555E-09
194 6.93 9.603E-09 -2.0796E-08
195 6.94 1.1235E-08 -1.8557E-08
196 6.95 1.2033E-08 -2.0726E-08
197 6.96 1.1238E-08 -1.8571E-08
198 6.97 1.2116E-08 -2.0603E-08
199 6.98 1.1262E-08 -1.8555E-08
200 6.99 1.2153E-08 -2.0367E-08
201 7 1.1239E-08 -1.9724E-08
202 7.01 1.2216E-08 -2.0184E-08
203 7.02 1.124E-08 -1.9825E-08
204 7.03 1.2258E-08 2.636E-09
205 7.04 -1.0796E-08 1.4889E-08
206 7.05 -1.1815E-08 1.217E-09
207 7.06 8.167E-09 -1.7958E-08
208 7.07 1.2309E-08 2.971E-09
209 7.08 -1.1016E-08 1.4483E-08
210 7.09 -1.1835E-08 6.14E-10
211 7.1 8.352E-09 -1.9789E-08
212 7.11 1.2251E-08 -2.0186E-08
213 7.12 1.1203E-08 -1.9841E-08
214 7.13 1.2243E-08 2.729E-09
215 7.14 -1.0911E-08 1.4772E-08
216 7.15 -1.1813E-08 1.84E-08
217 7.16 -1.2261E-08 -3.352E-09
218 7.17 1.0029E-08 -2.0302E-08
219 7.18 1.1239E-08 -1.8342E-08
220 7.19 1.2242E-08 2.519E-09
221 7.2 -1.0771E-08 2.1085E-08
222 7.21 -1.1991E-08 1.908E-08
223 7.22 -1.2276E-08 -2.29E-09
224 7.23 9.418E-09 -2.07E-08
225 7.24 1.1144E-08 -1.8678E-08
226 7.25 1.1957E-08 -2.0724E-08
227 7.26 1.1238E-08 -1.8502E-08
228 7.27 1.2013E-08 -2.0743E-08
229 7.28 1.1253E-08 -1.8455E-08
230 7.29 1.2101E-08 1.981E-09
231 7.3 -1.0307E-08 1.5786E-08
232 7.31 -1.193E-08 1.8986E-08
233 7.32 -1.2293E-08 -2.569E-09
234 7.33 9.594E-09 -2.0687E-08
235 7.34 1.1228E-08 -1.8479E-08
236 7.35 1.2019E-08 -2.0683E-08
237 7.36 1.1246E-08 -1.8456E-08
238 7.37 1.2096E-08 -2.053E-08
239 7.38 1.122E-08 -1.8538E-08
240 7.39 1.2166E-08 -2.0336E-08
241 7.4 1.126E-08 -1.8416E-08
242 7.41 1.2202E-08 2.381E-09
243 7.42 -1.0628E-08 2.114E-08
244 7.43 -1.1973E-08 1.9063E-08
245 7.44 -1.2271E-08 -2.115E-09
246 7.45 9.294E-09 -2.0657E-08
247 7.46 1.112E-08 -1.8633E-08
248 7.47 1.3062E-08 7.329E-09
249 7.48 -1.1925E-08 -4.88E-10
250 7.49 8.502E-09 -2.0089E-08
251 7.5 1.234E-08 3.144E-09
252 7.51 -1.1109E-08 1.4265E-08
253 7.52 -1.1823E-08 2.84E-10
254 7.53 8.358E-09 -1.9819E-08
255 7.54 1.2279E-08 -2.0084E-08
256 7.55 1.1264E-08 -1.7909E-08
257 7.56 1.2288E-08 2.856E-09
258 7.57 -1.1016E-08 1.4548E-08
259 7.58 -1.1789E-08 1.8161E-08
260 7.59 -1.2253E-08 -3.497E-09
261 7.6 1.0121E-08 -2.0173E-08
262 7.61 1.1249E-08 -1.814E-08
263 7.62 1.2258E-08 2.686E-09
264 7.63 -1.082E-08 2.0893E-08
265 7.64 -1.1916E-08 1.8946E-08
266 7.65 -1.2287E-08 -2.479E-09
267 7.66 9.495E-09 -2.066E-08
268 7.67 1.1195E-08 -1.8529E-08
269 7.68 1.199E-08 -2.0679E-08
270 7.69 1.1218E-08 -1.845E-08
271 7.7 1.2058E-08 -2.0615E-08
272 7.71 1.1256E-08 -1.851E-08
273 7.72 1.2132E-08 -2.0311E-08
274 7.73 1.1258E-08 -1.9591E-08
275 7.74 1.2183E-08 -2.0205E-08
276 7.75 1.1199E-08 -1.9687E-08
277 7.76 1.223E-08 -2.0122E-08
278 7.77 1.1226E-08 -1.8057E-08
279 7.78 1.224E-08 2.675E-09
280 7.79 -1.0893E-08 2.0798E-08
281 7.8 -1.1933E-08 1.8865E-08
282 7.81 -1.226E-08 -2.532E-09
283 7.82 9.535E-09 -2.0678E-08
284 7.83 1.1195E-08 -1.845E-08
285 7.84 1.1981E-08 -2.0643E-08
286 7.85 1.1197E-08 -1.8429E-08
287 7.86 1.2087E-08 -2.0457E-08
288 7.87 1.1201E-08 -1.8478E-08
289 7.88 1.2121E-08 -2.0273E-08
290 7.89 1.1222E-08 -1.9639E-08
291 7.9 1.2186E-08 -2.018E-08
292 7.91 1.1199E-08 -1.9738E-08
293 7.92 1.2239E-08 2.519E-09
294 7.93 -1.077E-08 1.4932E-08
295 7.94 -1.1797E-08 1.8499E-08
296 7.95 -1.2197E-08 -3.13E-09
297 7.96 9.912E-09 -2.0305E-08
298 7.97 1.1215E-08 -1.8478E-08
299 7.98 1.219E-08 -2.0128E-08
300 7.99 1.1221E-08 -1.9688E-08
301 8 1.2204E-08 -2.0112E-08
302 8.01 1.1223E-08 -1.9777E-08
303 8.02 1.222E-08 -2.0006E-08
304 8.03 1.1246E-08 -1.7871E-08
305 8.04 1.226E-08 2.899E-09
306 8.05 -1.0998E-08 1.446E-08
307 8.06 -1.176E-08 1.8127E-08
308 8.07 -1.2234E-08 -3.525E-09
309 8.08 1.012E-08 -2.0104E-08
310 8.09 1.1215E-08 -1.981E-08
311 8.1 1.2219E-08 2.674E-09
312 8.11 -1.0849E-08 2.0794E-08
313 8.12 -1.1904E-08 1.8908E-08
314 8.13 -1.2242E-08 -2.465E-09
315 8.14 9.519E-09 -2.0656E-08
316 8.15 1.1206E-08 -1.8639E-08
317 8.16 1.2047E-08 -2.0912E-08
318 8.17 1.1304E-08 -1.8867E-08
319 8.18 1.2248E-08 -2.1533E-08
320 8.19 1.1602E-08 -1.9713E-08
321 8.2 1.255E-08 2.568E-09
322 8.21 -1.0819E-08 1.6519E-08
323 8.22 -1.2341E-08 2.086E-09
324 8.23 8.21E-09 -1.9761E-08
325 8.24 1.2685E-08 2.888E-09
326 8.25 -1.1068E-08 1.6209E-08
327 8.26 -1.2228E-08 1.389E-09
328 8.27 8.491E-09 -1.9458E-08
329 8.28 1.2761E-08 3.248E-09
330 8.29 -1.1327E-08 1.5737E-08
331 8.3 -1.2256E-08 7.86E-10
332 8.31 8.716E-09 -1.9183E-08
333 8.32 1.2859E-08 3.614E-09
334 8.33 -1.1512E-08 1.5357E-08
335 8.34 -1.2255E-08 2.28E-10
336 8.35 8.789E-09 -1.8827E-08
