,,,
VD=,0,to,5
VG=,0,to,5
NO.,VD,VG,ID
V,V,A,
212,2.11,0,-0.00099444
213,2.12,0,-0.00099368
214,2.13,0,-0.0009929
215,2.14,0,-0.00099208
216,2.15,0,-0.00099127
217,2.16,0,-0.00099042
218,2.17,0,-0.0009896
219,2.18,0,-0.00098872
220,2.19,0,-0.00098788
221,2.2,0,-0.00098703
222,2.21,0,-0.00098605
223,2.22,0,-0.00098513
224,2.23,0,-0.00098429
225,2.24,0,-0.00098337
226,2.25,0,-0.00098239
227,2.26,0,-0.00098137
228,2.27,0,-0.00098045
229,2.28,0,-0.00097946
230,2.29,0,-0.00097842
231,2.3,0,-0.00097746
232,2.31,0,-0.00097637
233,2.32,0,-0.00097533
234,2.33,0,-0.00097428
235,2.34,0,-0.00097323
236,2.35,0,-0.00097214
237,2.36,0,-0.00097097
238,2.37,0,-0.00096988
239,2.38,0,-0.00096878
240,2.39,0,-0.0009676
241,2.4,0,-0.00096644
242,2.41,0,-0.00096531
243,2.42,0,-0.0009641
244,2.43,0,-0.00096283
245,2.44,0,-0.00096164
246,2.45,0,-0.00096042
247,2.46,0,-0.00095919
248,2.47,0,-0.00095781
249,2.48,0,-0.00095655
250,2.49,0,-0.00095527
251,2.5,0,-0.00095396
252,2.51,0,-0.00095259
253,2.52,0,-0.00095121
254,2.53,0,-0.00094982
255,2.54,0,-0.00094841
256,2.55,0,-0.00094703
257,2.56,0,-0.00094564
258,2.57,0,-0.00094409
259,2.58,0,-0.00094263
260,2.59,0,-0.00094122
261,2.6,0,-0.00093974
262,2.61,0,-0.00093823
263,2.62,0,-0.00093661
264,2.63,0,-0.0009351
265,2.64,0,-0.00093351
266,2.65,0,-0.00093196
267,2.66,0,-0.0009304
268,2.67,0,-0.00092865
269,2.68,0,-0.00092702
270,2.69,0,-0.00092541
271,2.7,0,-0.00092376
272,2.71,0,-0.00092205
273,2.72,0,-0.00092024
274,2.73,0,-0.00091856
275,2.74,0,-0.00091683
276,2.75,0,-0.00091508
277,2.76,0,-0.00091331
278,2.77,0,-0.00091138
279,2.78,0,-0.00090958
280,2.79,0,-0.00090773
281,2.8,0,-0.00090591
282,2.81,0,-0.00090404
283,2.82,0,-0.00090197
284,2.83,0,-0.00090012
285,2.84,0,-0.00089823
286,2.85,0,-0.0008963
287,2.86,0,-0.00089433
288,2.87,0,-0.00089218
289,2.88,0,-0.00089019
290,2.89,0,-0.00088816
291,2.9,0,-0.00088618
292,2.91,0,-0.00088416
293,2.92,0,-0.00088188
294,2.93,0,-0.00087974
295,2.94,0,-0.0008777
296,2.95,0,-0.00087555
297,2.96,0,-0.00087337
298,2.97,0,-0.00087107
299,2.98,0,-0.0008689
300,2.99,0,-0.00086665
301,3,0,-0.00086443
302,3.01,0,-0.00086218
303,3.02,0,-0.00085992
304,3.03,0,-0.00085742
305,3.04,0,-0.00085511
306,3.05,0,-0.00085284
307,3.06,0,-0.00085047
308,3.07,0,-0.00084809
309,3.08,0,-0.00084555
310,3.09,0,-0.00084311
311,3.1,0,-0.0008407
312,3.11,0,-0.00083824
313,3.12,0,-0.0008358
314,3.13,0,-0.00083309
315,3.14,0,-0.00083059
316,3.15,0,-0.00082807
317,3.16,0,-0.00082551
318,3.17,0,-0.00082295
