,,,
VD=,5,to,10
VG=,5,to,10
NO.,VD,ID,ISUB
V,A,A,
143,6.42,-8.793E-09,1.9873E-08
144,6.43,-1.2508E-08,-3.419E-09
145,6.44,1.0125E-08,-2.1973E-08
146,6.45,1.1568E-08,-1.9785E-08
147,6.46,1.2453E-08,3.017E-09
148,6.47,-1.0912E-08,1.6092E-08
149,6.48,-1.2116E-08,1.125E-09
150,6.49,8.335E-09,-1.9203E-08
151,6.5,1.2597E-08,3.62E-09
152,6.51,-1.1311E-08,1.5404E-08
153,6.52,-1.216E-08,9E-12
154,6.53,8.604E-09,-1.8563E-08
155,6.54,1.2703E-08,4.253E-09
156,6.55,-1.1669E-08,1.5099E-08
157,6.56,-1.2858E-08,-8.216E-09
158,6.57,1.1696E-08,-1.54E-10
159,6.58,-9.337E-09,1.9162E-08
160,6.59,-1.2511E-08,-4.349E-09
161,6.6,1.0639E-08,-2.1054E-08
162,6.61,1.2929E-08,7.163E-09
163,6.62,-1.2185E-08,1.721E-09
164,6.63,8.102E-09,-1.951E-08
165,6.64,1.2517E-08,3.371E-09
166,6.65,-1.1121E-08,2.2205E-08
167,6.66,-1.2223E-08,2.038E-09
168,6.67,8.034E-09,-1.9676E-08
169,6.68,1.2471E-08,3.118E-09
170,6.69,-1.103E-08,1.5871E-08
171,6.7,-1.2154E-08,8.71E-10
172,6.71,8.38E-09,-1.9044E-08
173,6.72,1.2635E-08,3.762E-09
174,6.73,-1.1422E-08,1.5252E-08
175,6.74,-1.276E-08,-7.803E-09
176,6.75,1.1559E-08,-9.49E-10
177,6.76,-9.146E-09,1.9604E-08
178,6.77,-1.2528E-08,-3.877E-09
179,6.78,1.0353E-08,-2.148E-08
180,6.79,1.1614E-08,-1.247E-09
181,6.8,-8.996E-09,1.9747E-08
182,6.81,-1.2518E-08,-3.66E-09
183,6.82,1.0256E-08,-2.1667E-08
184,6.83,1.157E-08,-1.541E-09
185,6.84,-8.874E-09,1.9924E-08
186,6.85,-1.2553E-08,-3.451E-09
187,6.86,1.0189E-08,-1.5016E-08
188,6.87,1.1603E-08,-4.84E-10
189,6.88,-9.287E-09,1.9348E-08
190,6.89,-1.2556E-08,-4.155E-09
191,6.9,1.0519E-08,-1.4334E-08
192,6.91,1.3061E-08,7.607E-09
193,6.92,-1.2134E-08,6.37E-10
