,,,
VG=,1.5,to,6.5
NO.,VG,ID,
V,A,,
1,1.5,3.652E-09,
2,1.51,-2.6534E-08,
3,1.52,2.7308E-08,
4,1.53,-1.6186E-08,
5,1.54,-9.735E-09,
6,1.55,2.7175E-08,
7,1.56,-2.2841E-08,
8,1.57,-2.716E-09,
9,1.58,2.482E-08,
10,1.59,-2.6253E-08,
11,1.6,1.9025E-08,
12,1.61,7.636E-09,
13,1.62,-2.6363E-08,
14,1.63,2.463E-08,
15,1.64,1.045E-09,
16,1.65,-2.6311E-08,
17,1.66,1.8407E-08,
18,1.67,8.603E-09,
19,1.68,-2.5975E-08,
20,1.69,2.38E-08,
21,1.7,2.636E-09,
22,1.71,-2.6246E-08,
23,1.72,2.7316E-08,
24,1.73,-1.6616E-08,
25,1.74,-8.876E-09,
26,1.75,2.7327E-08,
27,1.76,-2.3418E-08,
28,1.77,-1.526E-09,
29,1.78,2.4448E-08,
30,1.79,-1.5964E-08,
31,1.8,-1.0141E-08,
32,1.81,2.7134E-08,
33,1.82,-2.2496E-08,
34,1.83,-3.196E-09,
35,1.84,2.4876E-08,
36,1.85,-2.6336E-08,
37,1.86,1.8749E-08,
38,1.87,7.936E-09,
39,1.88,-2.6316E-08,
40,1.89,2.4589E-08,
41,1.9,1.57E-09,
42,1.91,-2.6476E-08,
43,1.92,1.8347E-08,
44,1.93,8.935E-09,
45,1.94,-2.6105E-08,
46,1.95,2.3728E-08,
47,1.96,3.164E-09,
48,1.97,-2.6409E-08,
49,1.98,2.7547E-08,
50,1.99,-1.6365E-08,
51,2,-9.219E-09,
52,2.01,2.7345E-08,
53,2.02,-2.3311E-08,
54,2.03,-1.995E-09,
55,2.04,2.4726E-08,
56,2.05,-2.6423E-08,
57,2.06,1.9541E-08,
58,2.07,7.395E-09,
59,2.08,-2.6853E-08,
60,2.09,2.5271E-08,
61,2.1,3.78E-10,
62,2.11,-2.6739E-08,
63,2.12,1.8739E-08,
64,2.13,8.371E-09,
65,2.14,-2.65E-08,
66,2.15,2.4565E-08,
67,2.16,2.066E-09,
68,2.17,-2.6681E-08,
69,2.18,2.7732E-08,
70,2.19,-1.7336E-08,
71,2.2,-8.605E-09,
72,2.21,2.7784E-08,
73,2.22,-2.4125E-08,
74,2.23,-5.91E-10,
75,2.24,2.4645E-08,
76,2.25,-1.6354E-08,
77,2.26,-9.703E-09,
78,2.27,2.7631E-08,
79,2.28,-2.3317E-08,
80,2.29,-2.547E-09,
81,2.3,2.509E-08,
82,2.31,-2.6618E-08,
83,2.32,1.9433E-08,
84,2.33,7.584E-09,
85,2.34,-2.6831E-08,
86,2.35,2.5151E-08,
87,2.36,8.2E-10,
88,2.37,-2.6882E-08,
89,2.38,1.8872E-08,
90,2.39,8.706E-09,
91,2.4,-2.6649E-08,
92,2.41,2.4422E-08,
93,2.42,2.576E-09,
94,2.43,-2.6784E-08,
95,2.44,2.7924E-08,
96,2.45,-1.7096E-08,
97,2.46,-8.933E-09,
98,2.47,2.7842E-08,
99,2.48,-2.3959E-08,
100,2.49,-1.087E-09,
101,2.5,2.4843E-08,
102,2.51,-1.6237E-08,
103,2.52,-1.0117E-08,
104,2.53,2.767E-08,
105,2.54,-2.2983E-08,
106,2.55,-2.929E-09,
107,2.56,2.5446E-08,
108,2.57,-2.652E-08,
109,2.58,1.9454E-08,
110,2.59,8.28E-09,
111,2.6,-2.6345E-08,
112,2.61,2.5622E-08,
113,2.62,2.134E-09,
114,2.63,-2.5618E-08,
115,2.64,2.0128E-08,
116,2.65,1.0863E-08,
117,2.66,-2.3859E-08,
118,2.67,2.7818E-08,
119,2.68,7.538E-09,
120,2.69,-2.0849E-08,
121,2.7,2.5671E-08,
122,2.71,1.9919E-08,
123,2.72,-1.1533E-08,
124,2.73,3.9303E-08,
125,2.74,2.4312E-08,
126,2.75,3.1026E-08,
127,2.76,5.3029E-08,
128,2.77,1.7922E-08,
129,2.78,4.0335E-08,
130,2.79,8.1533E-08,
131,2.8,5.1496E-08,
132,2.81,6.4155E-08,
133,2.82,6.436E-08,
134,2.83,9.066E-08,
135,2.84,1.4673E-07,
136,2.85,1.4063E-07,
137,2.86,1.2727E-07,
138,2.87,1.7953E-07,
139,2.88,2.1786E-07,
140,2.89,2.022E-07,
141,2.9,2.113E-07,
142,2.91,2.7723E-07,
143,2.92,2.959E-07,
144,2.93,2.8297E-07,
145,2.94,3.2655E-07,
146,2.95,3.8535E-07,
147,2.96,3.8222E-07,
148,2.97,3.8854E-07,
149,2.98,4.5476E-07,
150,2.99,4.9115E-07,
151,3,4.8345E-07,
152,3.01,5.1208E-07,
153,3.02,5.8296E-07,
154,3.03,5.9574E-07,
155,3.04,5.9403E-07,
156,3.05,6.4966E-07,
157,3.06,7.0617E-07,
158,3.07,7.0265E-07,
159,3.08,7.1845E-07,
160,3.09,7.9227E-07,
161,3.1,8.215E-07,
162,3.11,8.1795E-07,
163,3.12,8.6131E-07,
164,3.13,9.3125E-07,
165,3.14,9.3896E-07,
166,3.15,9.4328E-07,
167,3.16,1.01306E-06,
168,3.17,1.0567E-06,
169,3.18,1.05593E-06,
170,3.19,1.08354E-06,
171,3.2,1.132E-06,
172,3.21,1.1958E-06,
173,3.22,1.1919E-06,
174,3.23,1.2109E-06,
175,3.24,1.2849E-06,
176,3.25,1.3223E-06,
177,3.26,1.3197E-06,
178,3.27,1.3571E-06,
179,3.28,1.4349E-06,
180,3.29,1.4454E-06,
181,3.3,1.4465E-06,
182,3.31,1.515E-06,
183,3.32,1.5655E-06,
184,3.33,1.5642E-06,
185,3.34,1.5856E-06,
186,3.35,1.6631E-06,
187,3.36,1.6897E-06,
188,3.37,1.6845E-06,
189,3.38,1.7405E-06,
190,3.39,1.8078E-06,
191,3.4,1.8104E-06,
192,3.41,1.8212E-06,
193,3.42,1.8951E-06,
194,3.43,1.9368E-06,
195,3.44,1.9351E-06,
196,3.45,1.9695E-06,
197,3.46,2.0461E-06,
198,3.47,2.0594E-06,
199,3.48,2.0635E-06,
200,3.49,2.1253E-06,
201,3.5,2.185E-06,
202,3.51,2.1789E-06,
203,3.52,2.1981E-06,
204,3.53,2.2757E-06,
205,3.54,2.309E-06,
206,3.55,2.3036E-06,
207,3.56,2.3538E-06,
208,3.57,2.4212E-06,
209,3.58,2.429E-06,
210,3.59,2.4368E-06,
211,3.6,2.5108E-06,
212,3.61,2.5533E-06,
213,3.62,2.5494E-06,
214,3.63,2.5816E-06,
