,,,
VD=,1.5,to,6.5
NO.,VD,ID,
V,A,,
1,1.5,3.5109E-07,
2,1.51,9.4831E-06,
3,1.52,1.832E-05,
4,1.53,2.7116E-05,
5,1.54,3.574E-05,
6,1.55,4.501E-05,
7,1.56,5.3512E-05,
8,1.57,6.1855E-05,
9,1.58,7.0146E-05,
10,1.59,7.8387E-05,
11,1.6,8.7142E-05,
12,1.61,9.5112E-05,
13,1.62,0.00010307,
14,1.63,0.000110942,
15,1.64,0.00011866,
16,1.65,0.00012686,
17,1.66,0.00013451,
18,1.67,0.00014199,
19,1.68,0.0001493,
20,1.69,0.00015655,
21,1.7,0.00016433,
22,1.71,0.00017141,
23,1.72,0.00017832,
24,1.73,0.00018523,
25,1.74,0.00019207,
26,1.75,0.00019922,
27,1.76,0.00020583,
28,1.77,0.00021237,
29,1.78,0.00021877,
30,1.79,0.00022502,
31,1.8,0.00023124,
32,1.81,0.00023788,
33,1.82,0.00024383,
34,1.83,0.00024971,
35,1.84,0.00025555,
36,1.85,0.00026132,
37,1.86,0.00026728,
38,1.87,0.00027282,
39,1.88,0.00027824,
40,1.89,0.00028356,
41,1.9,0.00028872,
42,1.91,0.00029427,
43,1.92,0.00029935,
44,1.93,0.0003042,
45,1.94,0.00030901,
46,1.95,0.00031383,
47,1.96,0.00031884,
48,1.97,0.00032327,
49,1.98,0.00032773,
50,1.99,0.00033208,
51,2,0.00033629,
52,2.01,0.00034071,
53,2.02,0.0003448,
54,2.03,0.00034874,
55,2.04,0.00035256,
56,2.05,0.00035633,
57,2.06,0.00036028,
58,2.07,0.00036382,
59,2.08,0.00036723,
60,2.09,0.00037062,
61,2.1,0.00037395,
62,2.11,0.00037734,
63,2.12,0.00038037,
64,2.13,0.0003834,
65,2.14,0.00038633,
66,2.15,0.0003891,
67,2.16,0.00039203,
68,2.17,0.00039466,
69,2.18,0.00039716,
70,2.19,0.00039957,
71,2.2,0.00040194,
72,2.21,0.00040445,
73,2.22,0.00040657,
74,2.23,0.00040867,
75,2.24,0.00041073,
76,2.25,0.00041265,
77,2.26,0.00041461,
78,2.27,0.00041636,
79,2.28,0.00041812,
80,2.29,0.00041967,
81,2.3,0.00042121,
82,2.31,0.0004228,
83,2.32,0.00042425,
84,2.33,0.00042552,
85,2.34,0.0004268,
86,2.35,0.00042803,
87,2.36,0.00042927,
88,2.37,0.00043028,
89,2.38,0.0004313,
90,2.39,0.00043228,
91,2.4,0.00043316,
92,2.41,0.000434,
93,2.42,0.00043491,
94,2.43,0.0004357,
95,2.44,0.00043637,
96,2.45,0.00043704,
97,2.46,0.00043774,
98,2.47,0.00043836,
99,2.48,0.00043888,
100,2.49,0.00043944,
101,2.5,0.00044,
102,2.51,0.00044044,
103,2.52,0.00044085,
104,2.53,0.00044133,
105,2.54,0.00044173,
106,2.55,0.00044209,
107,2.56,0.00044245,
108,2.57,0.00044288,
109,2.58,0.00044315,
110,2.59,0.00044341,
111,2.6,0.00044373,
112,2.61,0.00044406,
113,2.62,0.00044432,
114,2.63,0.00044451,
115,2.64,0.00044481,
116,2.65,0.00044501,
117,2.66,0.0004452,
118,2.67,0.00044544,
119,2.68,0.00044571,
120,2.69,0.00044585,
121,2.7,0.000446,
122,2.71,0.00044624,
123,2.72,0.00044644,
124,2.73,0.00044658,
125,2.74,0.00044676,
126,2.75,0.00044692,
127,2.76,0.00044708,
128,2.77,0.0004472,
129,2.78,0.00044739,
130,2.79,0.00044754,
131,2.8,0.00044762,
132,2.81,0.00044773,
133,2.82,0.00044792,
134,2.83,0.00044807,
135,2.84,0.00044813,
136,2.85,0.00044827,
137,2.86,0.00044841,
138,2.87,0.00044853,
139,2.88,0.00044859,
140,2.89,0.00044876,
141,2.9,0.0004489,
142,2.91,0.00044895,
143,2.92,0.00044906,
144,2.93,0.00044919,
145,2.94,0.00044927,
146,2.95,0.00044933,
147,2.96,0.00044945,
148,2.97,0.0004496,
149,2.98,0.00044963,
150,2.99,0.00044967,
151,3,0.00044986,
152,3.01,0.00044995,
153,3.02,0.00044999,
154,3.03,0.00045007,
155,3.04,0.0004502,
156,3.05,0.00045028,
157,3.06,0.00045032,
158,3.07,0.00045046,
159,3.08,0.00045055,
160,3.09,0.00045059,
161,3.1,0.00045064,
162,3.11,0.00045077,
