,,,
VG=,5,to,10
NO.,VG,ID,
V,A,,
1,5,-1.8E-10,
2,5.01,-2.4529E-08,
3,5.02,1.7701E-08,
4,5.03,7.386E-09,
5,5.04,-2.442E-08,
6,5.05,2.2915E-08,
7,5.06,1.892E-09,
8,5.07,-2.4524E-08,
9,5.08,2.5626E-08,
10,5.09,-1.6069E-08,
11,5.1,-7.68E-09,
12,5.11,2.5481E-08,
13,5.12,-2.2148E-08,
14,5.13,-1.049E-09,
15,5.14,2.2871E-08,
16,5.15,-1.54E-08,
17,5.16,-9.061E-09,
18,5.17,2.5296E-08,
19,5.18,-2.1193E-08,
20,5.19,-2.963E-09,
21,5.2,2.3518E-08,
22,5.21,-2.4595E-08,
23,5.22,1.7736E-08,
24,5.23,7.377E-09,
25,5.24,-2.4352E-08,
26,5.25,2.2798E-08,
27,5.26,1.979E-09,
28,5.27,-2.4512E-08,
29,5.28,2.5715E-08,
30,5.29,-1.6145E-08,
31,5.3,-7.82E-09,
32,5.31,2.549E-08,
33,5.32,-2.2172E-08,
34,5.33,-1.248E-09,
35,5.34,2.2736E-08,
36,5.35,-2.4583E-08,
37,5.36,1.8633E-08,
38,5.37,6.319E-09,
39,5.38,-2.4781E-08,
40,5.39,2.3448E-08,
41,5.4,4.2E-11,
42,5.41,-2.4457E-08,
43,5.42,1.7642E-08,
44,5.43,7.483E-09,
45,5.44,-2.4384E-08,
46,5.45,2.2745E-08,
47,5.46,2.046E-09,
48,5.47,-2.4579E-08,
49,5.48,2.5747E-08,
50,5.49,-1.6039E-08,
51,5.5,-7.882E-09,
52,5.51,2.5451E-08,
53,5.52,-2.2107E-08,
54,5.53,-1.34E-09,
55,5.54,2.2788E-08,
56,5.55,-2.4529E-08,
57,5.56,1.8468E-08,
58,5.57,6.403E-09,
59,5.58,-2.4688E-08,
60,5.59,2.3409E-08,
61,5.6,1.85E-10,
62,5.61,-2.4548E-08,
63,5.62,1.7605E-08,
64,5.63,7.623E-09,
65,5.64,-2.435E-08,
66,5.65,2.2622E-08,
67,5.66,2.184E-09,
68,5.67,-2.455E-08,
69,5.68,2.5717E-08,
70,5.69,-1.5876E-08,
71,5.7,-7.931E-09,
72,5.71,2.5284E-08,
73,5.72,-2.2026E-08,
74,5.73,-1.435E-09,
75,5.74,2.2812E-08,
76,5.75,-2.4542E-08,
77,5.76,1.837E-08,
78,5.77,6.513E-09,
79,5.78,-2.4679E-08,
80,5.79,2.3417E-08,
81,5.8,3.19E-10,
82,5.81,-2.4482E-08,
83,5.82,1.7603E-08,
84,5.83,7.573E-09,
85,5.84,-2.4326E-08,
86,5.85,2.2553E-08,
87,5.86,2.316E-09,
88,5.87,-2.4472E-08,
89,5.88,2.5597E-08,
90,5.89,-1.5811E-08,
91,5.9,-8.053E-09,
92,5.91,2.5332E-08,
93,5.92,-2.1957E-08,
94,5.93,-1.532E-09,
95,5.94,2.2863E-08,
96,5.95,-2.4591E-08,
97,5.96,1.8286E-08,
98,5.97,6.573E-09,
99,5.98,-2.4697E-08,
100,5.99,2.3311E-08,
101,6,5.03E-10,
102,6.01,-2.4422E-08,
103,6.02,1.7525E-08,
104,6.03,7.624E-09,
105,6.04,-2.426E-08,
106,6.05,2.2421E-08,
107,6.06,2.45E-09,
108,6.07,-2.452E-08,
109,6.08,2.5684E-08,
110,6.09,-1.5767E-08,
111,6.1,-8.178E-09,
112,6.11,2.5328E-08,
113,6.12,-2.1883E-08,
114,6.13,-1.783E-09,
115,6.14,2.2864E-08,
116,6.15,-2.4589E-08,
117,6.16,1.8243E-08,
118,6.17,6.567E-09,
119,6.18,-2.4573E-08,
120,6.19,2.324E-08,
121,6.2,6.28E-10,
122,6.21,-2.4517E-08,
123,6.22,1.7549E-08,
124,6.23,7.789E-09,
125,6.24,-2.431E-08,
126,6.25,2.2456E-08,
127,6.26,2.509E-09,
128,6.27,-2.4572E-08,
129,6.28,2.5614E-08,
130,6.29,-1.5758E-08,
131,6.3,-8.205E-09,
132,6.31,2.5247E-08,
133,6.32,-2.1819E-08,
134,6.33,-1.909E-09,
135,6.34,2.3004E-08,
136,6.35,-2.4501E-08,
137,6.36,1.8168E-08,
138,6.37,6.761E-09,
139,6.38,-2.4657E-08,
140,6.39,2.3143E-08,
141,6.4,7.79E-10,
142,6.41,-2.4577E-08,
143,6.42,1.7589E-08,
144,6.43,7.884E-09,
145,6.44,-2.4346E-08,
146,6.45,2.2334E-08,
147,6.46,2.567E-09,
148,6.47,-2.4639E-08,
149,6.48,2.5671E-08,
150,6.49,-1.5595E-08,
151,6.5,-8.301E-09,
152,6.51,2.5389E-08,
153,6.52,-2.1655E-08,
154,6.53,-2.044E-09,
155,6.54,2.3203E-08,
156,6.55,-2.4527E-08,
157,6.56,1.8413E-08,
158,6.57,7.213E-09,
159,6.58,-2.4144E-08,
160,6.59,2.4008E-08,
161,6.6,2.071E-09,
162,6.61,-2.3089E-08,
163,6.62,1.9512E-08,
164,6.63,1.0722E-08,
165,6.64,-2.0547E-08,
166,6.65,2.771E-08,
167,6.66,9.937E-09,
168,6.67,-1.4712E-08,
169,6.68,3.0293E-08,
170,6.69,2.7241E-08,
171,6.7,2.1062E-08,
172,6.71,5.8358E-08,
173,6.72,3.2349E-08,
174,6.73,4.993E-08,
175,6.74,1.07012E-07,
176,6.75,1.2694E-07,
177,6.76,1.6328E-07,
178,6.77,1.787E-07,
179,6.78,2.4831E-07,
180,6.79,3.6809E-07,
181,6.8,4.5876E-07,
182,6.81,5.6424E-07,
183,6.82,7.6919E-07,
184,6.83,9.9967E-07,
185,6.84,1.2196E-06,
186,6.85,1.6133E-06,
187,6.86,2.0215E-06,
188,6.87,2.4795E-06,
189,6.88,3.0928E-06,
190,6.89,3.8131E-06,
191,6.9,4.6746E-06,
192,6.91,5.6606E-06,
193,6.92,6.8275E-06,
194,6.93,8.0999E-06,
195,6.94,9.5829E-06,
196,6.95,1.12938E-05,
197,6.96,1.3336E-05,
198,6.97,1.5433E-05,
199,6.98,1.7773E-05,
200,6.99,2.0415E-05,
201,7,2.3242E-05,
202,7.01,2.6562E-05,
203,7.02,2.9929E-05,
204,7.03,3.3594E-05,
205,7.04,3.7449E-05,
206,7.05,4.1559E-05,
207,7.06,4.6374E-05,
208,7.07,5.1086E-05,
209,7.08,5.601E-05,
210,7.09,6.1226E-05,
211,7.1,6.6732E-05,
212,7.11,7.2922E-05,
213,7.12,7.894E-05,
214,7.13,8.5199E-05,
