,,,
VG=,1.5,to,6.5
NO.,VG,ID,
V,A,,
1,1.5,-1.384E-08,
2,1.51,2.792E-08,
3,1.52,-1.8938E-08,
4,1.53,-7.224E-09,
5,1.54,2.8068E-08,
6,1.55,-2.5051E-08,
7,1.56,1.489E-09,
8,1.57,2.4634E-08,
9,1.58,-1.7422E-08,
10,1.59,-8.811E-09,
11,1.6,2.8211E-08,
12,1.61,-2.4432E-08,
13,1.62,-6.7E-10,
14,1.63,2.4989E-08,
15,1.64,-1.6666E-08,
16,1.65,-9.93E-09,
17,1.66,2.8001E-08,
18,1.67,-2.3558E-08,
19,1.68,-2.696E-09,
20,1.69,2.5529E-08,
21,1.7,-2.6976E-08,
22,1.71,1.9672E-08,
23,1.72,7.869E-09,
24,1.73,-2.7265E-08,
25,1.74,2.5457E-08,
26,1.75,9.99E-10,
27,1.76,-2.7318E-08,
28,1.77,1.9035E-08,
29,1.78,8.899E-09,
30,1.79,-2.6855E-08,
31,1.8,2.4628E-08,
32,1.81,2.678E-09,
33,1.82,-2.7127E-08,
34,1.83,2.8181E-08,
35,1.84,-1.7089E-08,
36,1.85,-9.164E-09,
37,1.86,2.8167E-08,
38,1.87,-2.4202E-08,
39,1.88,-1.366E-09,
40,1.89,2.5218E-08,
41,1.9,-1.6427E-08,
42,1.91,-1.047E-08,
43,1.92,2.7904E-08,
44,1.93,-2.3155E-08,
45,1.94,-3.248E-09,
46,1.95,2.5649E-08,
47,1.96,-2.6931E-08,
48,1.97,1.9247E-08,
49,1.98,8.122E-09,
50,1.99,-2.7034E-08,
51,2,2.5235E-08,
52,2.01,1.61E-09,
53,2.02,-2.7222E-08,
54,2.03,1.8821E-08,
55,2.04,9.246E-09,
56,2.05,-2.6896E-08,
57,2.06,2.4395E-08,
58,2.07,3.19E-09,
59,2.08,-2.7186E-08,
60,2.09,2.8135E-08,
61,2.1,-1.6859E-08,
62,2.11,-9.6E-09,
63,2.12,2.8092E-08,
64,2.13,-2.3895E-08,
65,2.14,-2.016E-09,
66,2.15,2.5325E-08,
67,2.16,-2.6848E-08,
68,2.17,1.9925E-08,
69,2.18,7.588E-09,
70,2.19,-2.7358E-08,
71,2.2,2.5642E-08,
72,2.21,3.47E-10,
73,2.22,-2.7319E-08,
74,2.23,1.9099E-08,
75,2.24,8.548E-09,
76,2.25,-2.6955E-08,
77,2.26,2.4854E-08,
78,2.27,2.18E-09,
79,2.28,-2.7121E-08,
80,2.29,2.8126E-08,
81,2.3,-1.7545E-08,
82,2.31,-8.789E-09,
83,2.32,2.8169E-08,
84,2.33,-2.4348E-08,
85,2.34,-7.54E-10,
86,2.35,2.5047E-08,
87,2.36,-1.6716E-08,
88,2.37,-1.0017E-08,
89,2.38,2.8065E-08,
90,2.39,-2.3535E-08,
91,2.4,-2.827E-09,
92,2.41,2.5505E-08,
93,2.42,-2.6986E-08,
94,2.43,1.9503E-08,
95,2.44,7.854E-09,
96,2.45,-2.7159E-08,
97,2.46,2.5357E-08,
98,2.47,9.43E-10,
99,2.48,-2.7198E-08,
100,2.49,1.9028E-08,
101,2.5,8.855E-09,
102,2.51,-2.676E-08,
103,2.52,2.4619E-08,
104,2.53,2.773E-09,
105,2.54,-2.7067E-08,
106,2.55,2.8175E-08,
107,2.56,-1.692E-08,
108,2.57,-9.02E-09,
109,2.58,2.8458E-08,
110,2.59,-2.3661E-08,
111,2.6,-9.57E-10,
112,2.61,2.5799E-08,
113,2.62,-2.5858E-08,
114,2.63,2.1473E-08,
115,2.64,8.665E-09,
116,2.65,-2.5323E-08,
117,2.66,2.8525E-08,
118,2.67,3.287E-09,
119,2.68,-2.2797E-08,
120,2.69,2.5197E-08,
121,2.7,1.6012E-08,
122,2.71,-1.6877E-08,
123,2.72,3.7975E-08,
124,2.73,1.7876E-08,
125,2.74,2.9441E-08,
126,2.75,4.5194E-08,
127,2.76,8.572E-09,
128,2.77,3.4654E-08,
129,2.78,7.1772E-08,
130,2.79,3.9752E-08,
131,2.8,5.352E-08,
132,2.81,1.05277E-07,
133,2.82,7.9087E-08,
134,2.83,8.2927E-08,
135,2.84,1.166E-07,
136,2.85,1.6351E-07,
137,2.86,1.4215E-07,
138,2.87,1.4616E-07,
139,2.88,2.0924E-07,
140,2.89,2.2991E-07,
141,2.9,2.1641E-07,
142,2.91,2.467E-07,
143,2.92,3.1103E-07,
144,2.93,3.1151E-07,
145,2.94,3.057E-07,
146,2.95,3.6924E-07,
147,2.96,4.0931E-07,
148,2.97,4.0158E-07,
149,2.98,4.195E-07,
150,2.99,4.9028E-07,
151,3,5.0997E-07,
152,3.01,5.0004E-07,
153,3.02,5.5316E-07,
154,3.03,6.169E-07,
155,3.04,6.116E-07,
156,3.05,6.2132E-07,
157,3.06,6.9292E-07,
158,3.07,7.3351E-07,
159,3.08,7.2644E-07,
160,3.09,7.599E-07,
161,3.1,8.3378E-07,
162,3.11,8.4492E-07,
163,3.12,8.4392E-07,
164,3.13,9.0837E-07,
165,3.14,9.6408E-07,
166,3.15,9.5777E-07,
167,3.16,9.751E-07,
168,3.17,1.0528E-06,
169,3.18,1.08366E-06,
170,3.19,1.07804E-06,
171,3.2,1.12681E-06,
172,3.21,1.1819E-06,
173,3.22,1.1755E-06,
174,3.23,1.2298E-06,
175,3.24,1.2972E-06,
176,3.25,1.3014E-06,
177,3.26,1.3087E-06,
178,3.27,1.3828E-06,
179,3.28,1.4279E-06,
180,3.29,1.4234E-06,
181,3.3,1.4568E-06,
182,3.31,1.5309E-06,
183,3.32,1.5478E-06,
184,3.33,1.5502E-06,
185,3.34,1.6099E-06,
186,3.35,1.671E-06,
187,3.36,1.6654E-06,
188,3.37,1.6834E-06,
189,3.38,1.7649E-06,
190,3.39,1.7944E-06,
191,3.4,1.7932E-06,
192,3.41,1.8386E-06,
193,3.42,1.9082E-06,
194,3.43,1.9174E-06,
195,3.44,1.9242E-06,
196,3.45,1.9983E-06,
197,3.46,2.0407E-06,
198,3.47,2.0384E-06,
199,3.48,2.0675E-06,
200,3.49,2.1428E-06,
201,3.5,2.1657E-06,
202,3.51,2.1628E-06,
203,3.52,2.2204E-06,
204,3.53,2.2855E-06,
205,3.54,2.2837E-06,
206,3.55,2.2998E-06,
207,3.56,2.3761E-06,
208,3.57,2.4118E-06,
209,3.58,2.409E-06,
210,3.59,2.4513E-06,
211,3.6,2.5263E-06,
212,3.61,2.5363E-06,
213,3.62,2.5374E-06,
214,3.63,2.6064E-06,
