,,,
VG=,0,to,5
NO.,VG,ID,
V,A,,
1,0,-5.906E-09,
2,0.01,2.6653E-08,
3,0.02,-2.4089E-08,
4,0.03,2.118E-09,
5,0.04,2.3304E-08,
6,0.05,-1.7094E-08,
7,0.06,-7.825E-09,
8,0.07,2.6935E-08,
9,0.08,-2.3163E-08,
10,0.09,-6.59E-10,
11,0.1,2.3975E-08,
12,0.11,-1.6149E-08,
13,0.12,-9.48E-09,
14,0.13,2.6616E-08,
15,0.14,-2.1976E-08,
16,0.15,-3.001E-09,
17,0.16,2.4733E-08,
18,0.17,-2.5564E-08,
19,0.18,1.8745E-08,
20,0.19,8.134E-09,
21,0.2,-2.5694E-08,
22,0.21,2.3548E-08,
23,0.22,2.494E-09,
24,0.23,-2.5917E-08,
25,0.24,2.6786E-08,
26,0.25,-1.6513E-08,
27,0.26,-8.726E-09,
28,0.27,2.6746E-08,
29,0.28,-2.2606E-08,
30,0.29,-2.075E-09,
31,0.3,2.4358E-08,
32,0.31,-2.5579E-08,
33,0.32,1.9012E-08,
34,0.33,7.436E-09,
35,0.34,-2.5871E-08,
36,0.35,2.4107E-08,
37,0.36,1.526E-09,
38,0.37,-2.5899E-08,
39,0.38,1.8191E-08,
40,0.39,8.874E-09,
41,0.4,-2.5539E-08,
42,0.41,2.3113E-08,
43,0.42,3.554E-09,
44,0.43,-2.5988E-08,
45,0.44,2.6977E-08,
46,0.45,-1.566E-08,
47,0.46,-8.957E-09,
48,0.47,2.7361E-08,
49,0.48,-2.0997E-08,
50,0.49,-1.95E-09,
51,0.5,2.6661E-08,
52,0.51,-2.3562E-08,
53,0.52,2.1424E-08,
54,0.53,1.1611E-08,
55,0.54,-2.1308E-08,
56,0.55,2.9153E-08,
57,0.56,9.813E-09,
58,0.57,-1.6765E-08,
59,0.58,2.9701E-08,
60,0.59,2.4829E-08,
61,0.6,2.8548E-08,
62,0.61,4.4598E-08,
63,0.62,1.0546E-08,
64,0.63,3.7258E-08,
65,0.64,7.8158E-08,
66,0.65,5.2345E-08,
67,0.66,7.3641E-08,
68,0.67,1.2915E-07,
69,0.68,1.2033E-07,
70,0.69,1.5645E-07,
71,0.7,2.3862E-07,
72,0.71,2.7746E-07,
73,0.72,3.0999E-07,
74,0.73,4.1097E-07,
75,0.74,5.4195E-07,
76,0.75,6.1896E-07,
77,0.76,7.4075E-07,
78,0.77,9.4016E-07,
79,0.78,1.12425E-06,
80,0.79,1.3012E-06,
81,0.8,1.5877E-06,
82,0.81,1.8959E-06,
83,0.82,2.1767E-06,
84,0.83,2.5401E-06,
85,0.84,2.9786E-06,
86,0.85,3.4225E-06,
87,0.86,3.9137E-06,
88,0.87,4.5013E-06,
89,0.88,5.0651E-06,
90,0.89,5.687E-06,
91,0.9,6.4877E-06,
92,0.91,7.2329E-06,
93,0.92,8.0152E-06,
94,0.93,8.9219E-06,
95,0.94,9.8505E-06,
96,0.95,1.08861E-05,
97,0.96,1.1981E-05,
98,0.97,1.3088E-05,
99,0.98,1.4218E-05,
100,0.99,1.5474E-05,
101,1,1.6907E-05,
102,1.01,1.8237E-05,
103,1.02,1.9648E-05,
104,1.03,2.1177E-05,
105,1.04,2.2732E-05,
106,1.05,2.4331E-05,
107,1.06,2.6152E-05,
108,1.07,2.794E-05,
109,1.08,2.9731E-05,
110,1.09,3.1576E-05,
111,1.1,3.3575E-05,
112,1.11,3.575E-05,
113,1.12,3.7793E-05,
114,1.13,3.9926E-05,
115,1.14,4.217E-05,
116,1.15,4.4448E-05,
117,1.16,4.6934E-05,
118,1.17,4.9349E-05,
119,1.18,5.185E-05,
120,1.19,5.4349E-05,
121,1.2,5.6944E-05,
122,1.21,5.9849E-05,
123,1.22,6.257E-05,
124,1.23,6.5331E-05,
125,1.24,6.8179E-05,
126,1.25,7.1167E-05,
127,1.26,7.4346E-05,
128,1.27,7.7351E-05,
129,1.28,8.0485E-05,
130,1.29,8.3675E-05,
131,1.3,8.6874E-05,
132,1.31,9.0418E-05,
133,1.32,9.3815E-05,
134,1.33,9.7234E-05,
135,1.34,0.000100691,
136,1.35,0.000104229,
137,1.36,0.000107881,
138,1.37,0.000111765,
139,1.38,0.0001155,
140,1.39,0.00011932,
141,1.4,0.00012315,
142,1.41,0.00012702,
143,1.42,0.0001313,
144,1.43,0.00013534,
145,1.44,0.00013943,
146,1.45,0.00014355,
147,1.46,0.00014776,
148,1.47,0.00015238,
149,1.48,0.00015665,
150,1.49,0.00016098,
151,1.5,0.00016547,
152,1.51,0.00016995,
153,1.52,0.0001748,
154,1.53,0.00017938,
155,1.54,0.00018412,
156,1.55,0.00018879,
157,1.56,0.00019351,
158,1.57,0.0001987,
159,1.58,0.0002036,
160,1.59,0.00020849,
161,1.6,0.00021349,
162,1.61,0.00021854,
163,1.62,0.00022398,
164,1.63,0.0002291,
165,1.64,0.00023431,
166,1.65,0.00023961,
167,1.66,0.00024483,
168,1.67,0.00025015,
169,1.68,0.00025601,
170,1.69,0.00026149,
171,1.7,0.00026694,
172,1.71,0.0002725,
173,1.72,0.00027812,
174,1.73,0.0002842,
175,1.74,0.00028989,
176,1.75,0.0002957,
177,1.76,0.00030145,
178,1.77,0.00030728,
179,1.78,0.0003136,
180,1.79,0.00031957,
181,1.8,0.00032553,
182,1.81,0.00033155,
183,1.82,0.00033771,
184,1.83,0.00034432,
185,1.84,0.00035049,
186,1.85,0.0003567,
187,1.86,0.00036298,
188,1.87,0.00036933,
189,1.88,0.00037616,
190,1.89,0.00038255,
191,1.9,0.00038905,
192,1.91,0.00039556,
193,1.92,0.00040206,
194,1.93,0.00040869,
195,1.94,0.0004159,
196,1.95,0.00042249,
197,1.96,0.00042919,
198,1.97,0.000436,
199,1.98,0.00044282,
200,1.99,0.00045018,
201,2,0.00045705,
202,2.01,0.00046403,
203,2.02,0.00047102,
204,2.03,0.00047798,
205,2.04,0.00048563,
206,2.05,0.00049266,
207,2.06,0.00049979,
208,2.07,0.00050697,
209,2.08,0.00051423,
210,2.09,0.00052207,
211,2.1,0.00052932,
212,2.11,0.00053671,
213,2.12,0.00054409,
214,2.13,0.00055147,
215,2.14,0.0005595,
216,2.15,0.00056699,
217,2.16,0.00057456,
218,2.17,0.00058213,
219,2.18,0.00058973,
220,2.19,0.00059798,
221,2.2,0.00060565,
222,2.21,0.00061333,
223,2.22,0.00062114,
224,2.23,0.00062894,
225,2.24,0.00063672,
226,2.25,0.00064516,
227,2.26,0.00065311,
