,,,
VG=,1.5,to,6.5
NO.,VG,ID,
V,A,,
1,1.5,5.286E-09,
2,1.51,2.9061E-08,
3,1.52,-2.3576E-08,
4,1.53,-8.477E-09,
5,1.54,3.4668E-08,
6,1.55,-3.0668E-08,
7,1.56,1.763E-09,
8,1.57,3.0706E-08,
9,1.58,-2.1556E-08,
10,1.59,-1.0834E-08,
11,1.6,3.4831E-08,
12,1.61,-2.9492E-08,
13,1.62,-1.669E-09,
14,1.63,3.1352E-08,
15,1.64,-2.0285E-08,
16,1.65,-1.2888E-08,
17,1.66,3.4594E-08,
18,1.67,-2.8099E-08,
19,1.68,-4.572E-09,
20,1.69,3.2283E-08,
21,1.7,-3.3081E-08,
22,1.71,8.655E-09,
23,1.72,2.6761E-08,
24,1.73,-2.6194E-08,
25,1.74,-6.557E-09,
26,1.75,3.39E-08,
27,1.76,-3.186E-08,
28,1.77,5.396E-09,
29,1.78,2.9023E-08,
30,1.79,-2.3759E-08,
31,1.8,-8.309E-09,
32,1.81,3.4876E-08,
33,1.82,-3.073E-08,
34,1.83,1.907E-09,
35,1.84,3.059E-08,
36,1.85,-2.1616E-08,
37,1.86,-1.0806E-08,
38,1.87,3.4941E-08,
39,1.88,-2.9829E-08,
40,1.89,-1.609E-09,
41,1.9,3.1493E-08,
42,1.91,-2.0372E-08,
43,1.92,-1.2739E-08,
44,1.93,3.4695E-08,
45,1.94,-2.8237E-08,
46,1.95,-4.522E-09,
47,1.96,3.2279E-08,
48,1.97,-3.2975E-08,
49,1.98,8.984E-09,
50,1.99,2.6561E-08,
51,2,-2.6346E-08,
52,2.01,-6.499E-09,
53,2.02,3.3768E-08,
54,2.03,-3.208E-08,
55,2.04,5.508E-09,
56,2.05,2.9043E-08,
57,2.06,-2.4034E-08,
58,2.07,-8.307E-09,
59,2.08,3.4856E-08,
60,2.09,-3.0972E-08,
61,2.1,2.082E-09,
62,2.11,3.0574E-08,
63,2.12,-2.175E-08,
64,2.13,-1.0782E-08,
65,2.14,3.5078E-08,
66,2.15,-2.9831E-08,
67,2.16,-1.354E-09,
68,2.17,3.1215E-08,
69,2.18,-2.0514E-08,
70,2.19,-1.2747E-08,
71,2.2,3.4714E-08,
72,2.21,-2.8624E-08,
73,2.22,-4.37E-09,
74,2.23,3.2294E-08,
75,2.24,-3.3192E-08,
76,2.25,9.017E-09,
77,2.26,2.6501E-08,
78,2.27,-2.6646E-08,
79,2.28,-6.519E-09,
80,2.29,3.38E-08,
81,2.3,-3.216E-08,
82,2.31,5.692E-09,
83,2.32,2.8738E-08,
84,2.33,-2.4289E-08,
85,2.34,-8.26E-09,
86,2.35,3.4566E-08,
87,2.36,-3.0974E-08,
88,2.37,2.335E-09,
89,2.38,3.0535E-08,
90,2.39,-2.1868E-08,
91,2.4,-1.0604E-08,
92,2.41,3.5213E-08,
93,2.42,-2.9724E-08,
94,2.43,-1.081E-09,
95,2.44,3.1643E-08,
96,2.45,-2.0369E-08,
97,2.46,-1.2158E-08,
98,2.47,3.5351E-08,
99,2.48,-2.7701E-08,
100,2.49,-3.267E-09,
101,2.5,3.3568E-08,
102,2.51,-3.1065E-08,
103,2.52,2.6471E-08,
104,2.53,1.3763E-08,
105,2.54,-2.9007E-08,
106,2.55,3.6596E-08,
107,2.56,1.1298E-08,
108,2.57,-2.2686E-08,
109,2.58,3.8048E-08,
110,2.59,3.2096E-08,
111,2.6,3.8454E-08,
112,2.61,6.0141E-08,
113,2.62,2.0278E-08,
114,2.63,5.9915E-08,
115,2.64,5.159E-08,
116,2.65,1.1738E-07,
117,2.66,1.8135E-07,
118,2.67,1.8274E-07,
119,2.68,2.264E-07,
120,2.69,3.6102E-07,
121,2.7,4.5334E-07,
122,2.71,5.3451E-07,
123,2.72,7.2978E-07,
124,2.73,9.8167E-07,
125,2.74,1.1736E-06,
126,2.75,1.5148E-06,
127,2.76,1.9402E-06,
128,2.77,2.4048E-06,
129,2.78,2.9824E-06,
130,2.79,3.7191E-06,
131,2.8,4.486E-06,
132,2.81,5.4363E-06,
133,2.82,6.6959E-06,
134,2.83,7.9576E-06,
135,2.84,9.4063E-06,
136,2.85,1.11669E-05,
137,2.86,1.2992E-05,
138,2.87,1.5167E-05,
139,2.88,1.771E-05,
140,2.89,2.031E-05,
141,2.9,2.3171E-05,
142,2.91,2.6369E-05,
143,2.92,2.9761E-05,
144,2.93,3.368E-05,
145,2.94,3.7672E-05,
146,2.95,4.1986E-05,
147,2.96,4.645E-05,
148,2.97,5.1241E-05,
149,2.98,5.6744E-05,
150,2.99,6.2168E-05,
151,3,6.7747E-05,
152,3.01,7.3693E-05,
153,3.02,7.988E-05,
154,3.03,8.6804E-05,
155,3.04,9.351E-05,
156,3.05,0.000100502,
157,3.06,0.00010773,
158,3.07,0.00011508,
159,3.08,0.00012338,
160,3.09,0.00013141,
161,3.1,0.00013957,
162,3.11,0.00014793,
163,3.12,0.00015659,
164,3.13,0.00016539,
165,3.14,0.00017507,
166,3.15,0.00018431,
167,3.16,0.00019373,
168,3.17,0.00020337,
169,3.18,0.00021316,
170,3.19,0.00022393,
171,3.2,0.00023416,
172,3.21,0.00024448,
173,3.22,0.00025501,
174,3.23,0.0002657,
175,3.24,0.00027732,
176,3.25,0.00028834,
177,3.26,0.00029949,
178,3.27,0.00031083,
179,3.28,0.00032233,
180,3.29,0.00033483,
181,3.3,0.00034664,
182,3.31,0.0003584,
183,3.32,0.0003704,
184,3.33,0.00038249,
185,3.34,0.00039577,
186,3.35,0.00040823,
187,3.36,0.00042065,
188,3.37,0.00043326,
189,3.38,0.00044604,
190,3.39,0.00045989,
191,3.4,0.00047283,
192,3.41,0.00048585,
193,3.42,0.00049907,
194,3.43,0.00051222,
195,3.44,0.00052565,
196,3.45,0.00054029,
197,3.46,0.00055376,
198,3.47,0.00056731,
199,3.48,0.00058115,
200,3.49,0.00059486,
201,3.5,0.00060985,
202,3.51,0.00062384,
203,3.52,0.00063805,
204,3.53,0.00065224,
205,3.54,0.00066639,
206,3.55,0.00068171,
207,3.56,0.00069611,
208,3.57,0.00071045,
209,3.58,0.00072501,
210,3.59,0.00073967,
211,3.6,0.00075543,
212,3.61,0.00077004,
213,3.62,0.0007849,
214,3.63,0.00079975,
215,3.64,0.00081468,
216,3.65,0.00083065,
217,3.66,0.00084567,
218,3.67,0.0008609,
219,3.68,0.00087605,
220,3.69,0.00089124,
221,3.7,0.00090654,
222,3.71,0.00092305,
