,,,
VG=,1,to,6
NO.,VG,ID,
V,A,,
211,3.1,4.7494E-06,
212,3.11,4.7368E-06,
213,3.12,4.7533E-06,
214,3.13,4.8785E-06,
215,3.14,4.9275E-06,
216,3.15,4.9174E-06,
217,3.16,4.9932E-06,
218,3.17,5.0855E-06,
219,3.18,5.0945E-06,
220,3.19,5.1024E-06,
221,3.2,5.2172E-06,
222,3.21,5.2928E-06,
223,3.22,5.2762E-06,
224,3.23,5.3231E-06,
225,3.24,5.433E-06,
226,3.25,5.4569E-06,
227,3.26,5.4648E-06,
228,3.27,5.5501E-06,
229,3.28,5.6446E-06,
230,3.29,5.6299E-06,
231,3.3,5.6388E-06,
232,3.31,5.7626E-06,
233,3.32,5.8114E-06,
234,3.33,5.8085E-06,
235,3.34,5.8735E-06,
236,3.35,5.9636E-06,
237,3.36,5.9809E-06,
238,3.37,5.9828E-06,
239,3.38,6.0965E-06,
240,3.39,6.1698E-06,
241,3.4,6.1548E-06,
242,3.41,6.1931E-06,
243,3.42,6.2941E-06,
244,3.43,6.3314E-06,
245,3.44,6.337E-06,
246,3.45,6.4123E-06,
247,3.46,6.5066E-06,
248,3.47,6.4916E-06,
249,3.48,6.5056E-06,
250,3.49,6.6262E-06,
251,3.5,6.679E-06,
252,3.51,6.6759E-06,
253,3.52,6.7231E-06,
254,3.53,6.8221E-06,
255,3.54,6.8432E-06,
256,3.55,6.8454E-06,
257,3.56,6.9487E-06,
258,3.57,7.0201E-06,
259,3.58,7.0054E-06,
260,3.59,7.0307E-06,
261,3.6,7.1402E-06,
262,3.61,7.1862E-06,
263,3.62,7.1744E-06,
264,3.63,7.249E-06,
265,3.64,7.343E-06,
266,3.65,7.3364E-06,
267,3.66,7.3446E-06,
268,3.67,7.4576E-06,
269,3.68,7.5272E-06,
270,3.69,7.5115E-06,
271,3.7,7.5526E-06,
272,3.71,7.6587E-06,
273,3.72,7.6765E-06,
274,3.73,7.6793E-06,
275,3.74,7.7671E-06,
276,3.75,7.8514E-06,
277,3.76,7.8338E-06,
278,3.77,7.8417E-06,
279,3.78,7.9611E-06,
280,3.79,8.0052E-06,
281,3.8,7.9956E-06,
282,3.81,8.0631E-06,
283,3.82,8.1479E-06,
284,3.83,8.1551E-06,
285,3.84,8.1561E-06,
286,3.85,8.2675E-06,
287,3.86,8.3394E-06,
288,3.87,8.3164E-06,
289,3.88,8.3546E-06,
290,3.89,8.4554E-06,
291,3.9,8.4842E-06,
292,3.91,8.4848E-06,
293,3.92,8.5596E-06,
294,3.93,8.6486E-06,
295,3.94,8.6286E-06,
296,3.95,8.6384E-06,
297,3.96,8.7554E-06,
298,3.97,8.7998E-06,
299,3.98,8.7923E-06,
300,3.99,8.8427E-06,
301,4,8.9306E-06,
302,4.01,8.9507E-06,
303,4.02,8.945E-06,
304,4.03,9.0503E-06,
305,4.04,9.1117E-06,
306,4.05,9.0957E-06,
307,4.06,9.1251E-06,
308,4.07,9.2232E-06,
309,4.08,9.2609E-06,
310,4.09,9.2507E-06,
311,4.1,9.3205E-06,
312,4.11,9.4118E-06,
313,4.12,9.3958E-06,
314,4.13,9.4015E-06,
315,4.14,9.5114E-06,
316,4.15,9.5688E-06,
317,4.16,9.554E-06,
318,4.17,9.595E-06,
319,4.18,9.6944E-06,
320,4.19,9.7053E-06,
321,4.2,9.7016E-06,
322,4.21,9.7957E-06,
323,4.22,9.8676E-06,
324,4.23,9.8452E-06,
325,4.24,9.8521E-06,
326,4.25,9.9638E-06,
327,4.26,1.00084E-05,
328,4.27,9.9881E-06,
329,4.28,1.00546E-05,
330,4.29,1.01368E-05,
331,4.3,1.01346E-05,
332,4.31,1.01321E-05,
333,4.32,1.02397E-05,
334,4.33,1.0306E-05,
335,4.34,1.02789E-05,
336,4.35,1.03143E-05,
337,4.36,1.04121E-05,
338,4.37,1.0432E-05,
339,4.38,1.04289E-05,
340,4.39,1.05023E-05,
341,4.4,1.05842E-05,
342,4.41,1.05594E-05,
343,4.42,1.05632E-05,
344,4.43,1.06757E-05,
345,4.44,1.0714E-05,
346,4.45,1.06992E-05,
347,4.46,1.07535E-05,
348,4.47,1.08362E-05,
349,4.48,1.08443E-05,
350,4.49,1.08343E-05,
351,4.5,1.09345E-05,
352,4.51,1.09981E-05,
353,4.52,1.0975E-05,
354,4.53,1.1003E-05,
355,4.54,1.10935E-05,
356,4.55,1.11226E-05,
357,4.56,1.11138E-05,
358,4.57,1.11805E-05,
359,4.58,1.12645E-05,
360,4.59,1.12383E-05,
361,4.6,1.12432E-05,
362,4.61,1.13483E-05,
363,4.62,1.1326E-05,
364,4.63,1.1417E-05,
365,4.64,1.1483E-05,
366,4.65,1.1455E-05,
367,4.66,1.146E-05,
368,4.67,1.1566E-05,
369,4.68,1.1608E-05,
370,4.69,1.1582E-05,
371,4.7,1.1645E-05,
372,4.71,1.1721E-05,
373,4.72,1.1714E-05,
374,4.73,1.1708E-05,
375,4.74,1.1812E-05,
376,4.75,1.1873E-05,
377,4.76,1.1842E-05,
378,4.77,1.1872E-05,
379,4.78,1.1966E-05,
380,4.79,1.1979E-05,
381,4.8,1.1972E-05,
382,4.81,1.2042E-05,
383,4.82,1.212E-05,
384,4.83,1.2092E-05,
385,4.84,1.2092E-05,
386,4.85,1.2197E-05,
387,4.86,1.2233E-05,
388,4.87,1.2212E-05,
389,4.88,1.226E-05,
390,4.89,1.2338E-05,
391,4.9,1.2342E-05,
392,4.91,1.2329E-05,
393,4.92,1.2424E-05,
394,4.93,1.2484E-05,
395,4.94,1.2457E-05,
396,4.95,1.248E-05,
397,4.96,1.2564E-05,
398,4.97,1.259E-05,
399,4.98,1.2578E-05,
400,4.99,1.2641E-05,
401,5,1.2717E-05,
402,5.01,1.2685E-05,
403,5.02,1.2687E-05,
404,5.03,1.2787E-05,
405,5.04,1.2829E-05,
406,5.05,1.2812E-05,
407,5.06,1.2844E-05,
408,5.07,1.2927E-05,
409,5.08,1.2932E-05,
410,5.09,1.2919E-05,
411,5.1,1.3009E-05,
412,5.11,1.3063E-05,
413,5.12,1.3034E-05,
414,5.13,1.3041E-05,
415,5.14,1.3137E-05,
416,5.15,1.3166E-05,
417,5.16,1.3138E-05,
418,5.17,1.32E-05,
419,5.18,1.3274E-05,
420,5.19,1.3253E-05,
421,5.2,1.3248E-05,
422,5.21,1.3345E-05,
423,5.22,1.3397E-05,
424,5.23,1.3364E-05,
425,5.24,1.3388E-05,
426,5.25,1.3481E-05,
427,5.26,1.3484E-05,
428,5.27,1.3472E-05,
429,5.28,1.3542E-05,
430,5.29,1.361E-05,
431,5.3,1.3577E-05,
432,5.31,1.3571E-05,
433,5.32,1.3674E-05,
434,5.33,1.3706E-05,
435,5.34,1.3675E-05,
436,5.35,1.3728E-05,
437,5.36,1.3796E-05,
438,5.37,1.3789E-05,
439,5.38,1.3773E-05,
440,5.39,1.3863E-05,
441,5.4,1.3926E-05,
442,5.41,1.3887E-05,
443,5.42,1.3907E-05,
444,5.43,1.3991E-05,
445,5.44,1.4004E-05,
446,5.45,1.3988E-05,
447,5.46,1.4048E-05,
448,5.47,1.4119E-05,
449,5.48,1.4082E-05,
450,5.49,1.4078E-05,
451,5.5,1.4174E-05,
452,5.51,1.4209E-05,
453,5.52,1.4186E-05,
454,5.53,1.4221E-05,
455,5.54,1.4291E-05,
456,5.55,1.4288E-05,
457,5.56,1.4271E-05,
458,5.57,1.4359E-05,
459,5.58,1.4405E-05,
460,5.59,1.4373E-05,
461,5.6,1.4384E-05,
462,5.61,1.4463E-05,
463,5.62,1.4489E-05,
464,5.63,1.4463E-05,
465,5.64,1.4518E-05,
466,5.65,1.4588E-05,
467,5.66,1.4558E-05,
468,5.67,1.4546E-05,
469,5.68,1.4638E-05,
470,5.69,1.4683E-05,
471,5.7,1.4648E-05,
472,5.71,1.4671E-05,
473,5.72,1.4757E-05,
474,5.73,1.4754E-05,
475,5.74,1.4732E-05,
476,5.75,1.4808E-05,
477,5.76,1.4864E-05,
478,5.77,1.4825E-05,
479,5.78,1.4818E-05,
480,5.79,1.4912E-05,
481,5.8,1.4939E-05,
482,5.81,1.49E-05,
483,5.82,1.4955E-05,
484,5.83,1.5018E-05,
485,5.84,1.5002E-05,
486,5.85,1.4982E-05,
487,5.86,1.5072E-05,
488,5.87,1.5124E-05,
489,5.88,1.5082E-05,
490,5.89,1.51E-05,
491,5.9,1.518E-05,
492,5.91,1.5182E-05,
493,5.92,1.5165E-05,
494,5.93,1.522E-05,
495,5.94,1.5287E-05,
496,5.95,1.5247E-05,
497,5.96,1.5231E-05,
498,5.97,1.533E-05,
499,5.98,1.5354E-05,
500,5.99,1.5321E-05,
501,6,1.5359E-05,
