,,,
VD=,1.5,to,6.5
NO.,VD,ID,
V,A,,
1,1.5,1.2882E-06,
2,1.51,2.6528E-05,
3,1.52,5.1412E-05,
4,1.53,7.6181E-05,
5,1.54,0.000100719,
6,1.55,0.00012685,
7,1.56,0.00015078,
8,1.57,0.00017456,
9,1.58,0.00019823,
10,1.59,0.00022148,
11,1.6,0.00024639,
12,1.61,0.00026923,
13,1.62,0.00029178,
14,1.63,0.00031405,
15,1.64,0.00033622,
16,1.65,0.00035969,
17,1.66,0.00038133,
18,1.67,0.00040257,
19,1.68,0.0004236,
20,1.69,0.00044433,
21,1.7,0.00046628,
22,1.71,0.0004864,
23,1.72,0.00050628,
24,1.73,0.00052575,
25,1.74,0.00054501,
26,1.75,0.000564,
27,1.76,0.00058428,
28,1.77,0.00060252,
29,1.78,0.00062057,
30,1.79,0.00063833,
31,1.8,0.00065571,
32,1.81,0.00067414,
33,1.82,0.00069097,
34,1.83,0.00070745,
35,1.84,0.00072351,
36,1.85,0.00073951,
37,1.86,0.00075622,
38,1.87,0.00077147,
39,1.88,0.00078628,
40,1.89,0.00080087,
41,1.9,0.00081527,
42,1.91,0.00083017,
43,1.92,0.00084385,
44,1.93,0.00085714,
45,1.94,0.00087013,
46,1.95,0.00088288,
47,1.96,0.00089628,
48,1.97,0.00090828,
49,1.98,0.00092003,
50,1.99,0.00093143,
51,2,0.0009426,
52,2.01,0.00095437,
53,2.02,0.00096482,
54,2.03,0.00097507,
55,2.04,0.00098511,
56,2.05,0.00099488,
57,2.06,0.00100489,
58,2.07,0.00101401,
59,2.08,0.00102284,
60,2.09,0.00103141,
61,2.1,0.00103974,
62,2.11,0.00104835,
63,2.12,0.00105618,
64,2.13,0.00106354,
65,2.14,0.00107085,
66,2.15,0.00107796,
67,2.16,0.0010852,
68,2.17,0.0010917,
69,2.18,0.00109802,
70,2.19,0.0011041,
71,2.2,0.00111002,
72,2.21,0.00111601,
73,2.22,0.00112154,
74,2.23,0.00112672,
75,2.24,0.00113177,
76,2.25,0.0011366,
77,2.26,0.0011416,
78,2.27,0.001146,
79,2.28,0.0011504,
80,2.29,0.0011548,
81,2.3,0.0011586,
82,2.31,0.0011628,
83,2.32,0.0011664,
84,2.33,0.00117,
85,2.34,0.0011732,
86,2.35,0.0011767,
87,2.36,0.0011798,
88,2.37,0.0011828,
89,2.38,0.0011859,
90,2.39,0.0011885,
91,2.4,0.0011913,
92,2.41,0.0011938,
93,2.42,0.0011965,
94,2.43,0.001199,
95,2.44,0.0012012,
96,2.45,0.0012033,
97,2.46,0.0012055,
98,2.47,0.0012076,
99,2.48,0.0012097,
100,2.49,0.0012117,
101,2.5,0.0012137,
102,2.51,0.0012153,
103,2.52,0.0012171,
104,2.53,0.0012188,
105,2.54,0.0012204,
106,2.55,0.0012218,
107,2.56,0.0012233,
108,2.57,0.0012251,
109,2.58,0.0012263,
110,2.59,0.0012277,
111,2.6,0.001229,
112,2.61,0.0012303,
113,2.62,0.0012316,
114,2.63,0.0012327,
115,2.64,0.0012339,
116,2.65,0.0012352,
117,2.66,0.001236,
118,2.67,0.0012372,
119,2.68,0.0012385,
120,2.69,0.0012395,
121,2.7,0.0012404,
122,2.71,0.0012413,
123,2.72,0.0012425,
124,2.73,0.0012433,
125,2.74,0.0012443,
126,2.75,0.001245,
127,2.76,0.001246,
128,2.77,0.0012468,
129,2.78,0.0012478,
130,2.79,0.0012485,
131,2.8,0.0012494,
132,2.81,0.0012501,
133,2.82,0.0012511,
134,2.83,0.001252,
135,2.84,0.0012526,
136,2.85,0.0012534,
137,2.86,0.001254,
138,2.87,0.0012547,
139,2.88,0.0012552,
140,2.89,0.0012561,
141,2.9,0.0012568,
142,2.91,0.0012573,
143,2.92,0.001258,
144,2.93,0.0012589,
145,2.94,0.0012594,
146,2.95,0.0012598,
147,2.96,0.0012606,
148,2.97,0.0012611,
149,2.98,0.0012619,
150,2.99,0.0012623,
151,3,0.0012631,
152,3.01,0.0012636,
153,3.02,0.001264,
154,3.03,0.0012646,
155,3.04,0.0012652,
156,3.05,0.0012659,
157,3.06,0.0012663,
158,3.07,0.0012669,
159,3.08,0.0012672,
160,3.09,0.0012676,
161,3.1,0.0012683,
162,3.11,0.0012688,
163,3.12,0.0012692,
